english_name,chinese_name,source_id,extra_json
"Flintstones, The (J) [x]",石头族乐园(日),,
"Flintstones, The (U)",石头族乐园(美),,
Foreman for Real (JUE),真实拳击(日美欧),,
Forgotten Worlds (JUE) (r00),世界末日(r00)(日美欧),,
Forgotten Worlds (JUE) (r01),世界末日(r01)(日美欧),,
Frank Thomas Big Hurt Baseball (JUE),法兰克汤姆斯棒球(日美欧),,
Frogger (JU),青蛙过街(日美),,
From TV Animation Slam Dunk - Kyougou Makkou Taiketsu! (J),篮球飞人-高手 正面的对决(日),,
Fun Car Rally (U) (Beta),玩具车拉力赛(美),,
Fun-n-Games (E),玩具游戏(欧),,
Fun-n-Games (U),玩具游戏(美),,
Fushigi no Umi no Nadia (J),深海之迷(日),,
Hard Drivin' (JUE),迅猛赛车(日美欧),,
HardBall '94 (JUE),硬派棒球94(日美欧),,
HardBall '95 (JUE),硬派棒球95(日美欧),,
HardBall III (JUE),硬派棒球3(日美欧),,
HardBall! (U),硬派棒球!(美),,
"Haunting, The (JUE)",幽灵(日美欧),,
Head-On Soccer (U) (M5),足球(美),,
Heavy Nova (JUE),重装诺瓦(日美欧),,
Heavy Unit (J),重兵压境(日),,
Hellfire (E),地狱火(欧),,
Hellfire (J),地狱火(日),,
Hellfire (U),地狱火(美),,
Herzog Zwei (J),离子战机(日),,
Herzog Zwei (UE),离子战机(美欧),,
High Seas Havoc (U),大海哮--火箭骑士(美),,
Hit The Ice (U),暴力冰球(美),,
Hokuto no Ken - Seikimatsu Kyuuseishu Densetsu (J),北斗神拳-世纪末救世主传说(日),,
Home Alone (U) (Beta),小鬼当家(测试版)(美),,
Home Alone (U),小鬼当家(美),,
Home Alone 2 - Lost in New York (U),小鬼当家2(美),,
Honoo no Toukyuuji Dodge Danpei (J),,,
Hook (U),小飞侠(美),,
"Humans, The (U)",新人类(美),,
Hurricanes (JUE),狂风(日美欧),,
"Hybrid Front, The (J) [a1]",轨道战争(日),,
Hyokkori Hyoutanjima - Daitouryou wo Mezase! (J) [x],大统领(日),,
Hyper Dunk - The Playoff Edition (E),疯狂灌篮-季后赛(欧),,
Hyper Dunk - The Playoff Edition (J),疯狂灌篮-季后赛(日),,
Hyper Marbles (J) (Sega Channel),大碰撞(日),,
IMG International Tour Tennis (JUE),网球巡回赛(日美欧),,
"Immortal, The (J)",死神传说(日),,
"Immortal, The (U)",死神传说(美),,
"Incredible Crash Dummies, The (Beta)",铁人狂奔(测试版),,
"Incredible Crash Dummies, The (JUE)",铁人狂奔(日美欧),,
"Incredible Hulk, The (JUE)",绿巨人(日美欧),,
Indiana Jones and the Last Crusade (JE),印第安那琼斯(日欧),,
Indiana Jones and the Last Crusade (U),印第安那琼斯(美),,
Insector X (JUE) (Jul 1990),兵蜂X(6月1990)(日美欧),,
Insector X (JUE) (Jun 1990),兵蜂X(7月1990)(日美欧),,
