english_name,chinese_name,source_id,extra_json
Tech Saturn Jun.1997 (Japan),土星科技 六月1997  （日版）,SS#1975,
"Tech Saturn Mar.1997 - Okaeshi wa Marshmallow, Cookie, Howaito Choco (Japan)","土星科技 三月1997 - OKAESHI WA MARSHMALLOW, COOKIE, HOWAITO CHOCO  （日版）",SS#1976,
Tech Saturn May.1997 (Japan),土星科技 五月1997  （日版）,SS#1977,
Tech Saturn Oct.1997 (Japan),土星科技 十月1997  （日版）,SS#1978,
Tech Saturn Sep.1997 (Japan),土星科技 九月1997  （日版）,SS#1979,
Tech Saturn Tsuushin - Autumn 1995 - Special CD-ROM (Japan),土星科技 通信 - 秋季 1995 - 特别版 CD-ROM  （日版）,SS#1980,
Tech Saturn Tsuushin - Spring 1995 (Japan),土星科技 通信 - 春季 1995  （日版）,SS#1981,
Tech Saturn Tsuushin - Winter 1995 - Taikenban & Demo-ban ga Tenkomori! (Japan),土星科技 通信 - 冬季 1995 - TAIKENBAN & DEMO-BAN GA TENKOMORI!  （日版）,SS#1982,
Tech Saturn Tsuushin Vol. 4 - Spring 1996 - Youriyou Meippai Kikaku Tenkomori (Japan),土星科技 通信 卷 4 - 春季 1996 - YOURIYOU MEIPPAI KIKAKU TENKOMORI  （日版）,SS#1983,
Tech Saturn Tsuushin Vol. 5 - Summer 1996 (Japan),土星科技 通信 卷 5 - 夏季 1996  （日版）,SS#1984,
Tech Saturn Vol. 1-1996 - Yatchimatta! (Japan),土星科技 卷 1-1996 - YATCHIMATTA!  （日版）,SS#1985,
Tech Saturn Vol. 2-1996 - Maitsuki 8-nichi wa Tessa no Hi - Ataru to Sugo Iyo (Japan),土星科技 卷 2-1996 - MAITSUKI 8-NICHI WA TESSA NO HI - ATARU TO SUGO IYO  （日版）,SS#1986,
Techno Motor (Japan),音乐编辑  （日版）,SS#1987,
Teitoku no Ketsudan II (Japan),提督的决断2  （日版）,SS#1988,
Teitoku no Ketsudan III (Japan),提督的决断3  （日版）,SS#1989,
Teitoku no Ketsudan III with Power-Up Kit (Japan),提督的决断3 威力加强版  （日版）,SS#1990,
Tekkyuu - True Pinball (Japan),铁球 - 真实弹珠  （日版）,SS#1991,
Tempest 2000 (Europe),暴风雨 2000  （欧版）,SS#1992,
Tempest 2000 (USA),暴风雨 2000  （美版）,SS#1993,
Ten Pin Alley (USA),大满贯保龄球  （美版）,SS#1994,
Tenant Wars (Japan),房客战争  （日版）,SS#1995,
Tenant Wars (Japan) (Demo),房客战争  （日版） （演示版）,SS#1996,
Tenchi Muyou! Mimiri Onsen - Yukemuri no Tabi (Japan) (Disc 1),天地无用! 魅御理温泉 - ～湯けむりの旅～  （日版） （光碟 1）,SS#1997,
Tenchi Muyou! Mimiri Onsen - Yukemuri no Tabi (Japan) (Disc 2),天地无用! 魅御理温泉 - ～湯けむりの旅～  （日版） （光碟 2）,SS#1998,
Tenchi Muyou! Rensa Hitsuyou (Japan),天地无用! 连锁必要  （日版）,SS#1999,
Tenchi Muyou! Ryououki Gokuraku CD-ROM for Sega Saturn (Japan) (1M),天地无用! 魎皇鬼 CD-ROM 世嘉土星版  （日版） (1M),SS#2000,
Tenchi Muyou! Toukou Muyou - Aniraji Collection (Japan) (Disc 1),天地无用! 登校无用 - ANIRAJI 精选集  （日版） （光碟 1）,SS#2001,
Tenchi Muyou! Toukou Muyou - Aniraji Collection (Japan) (Disc 2),天地无用! 登校无用 - ANIRAJI 精选集  （日版） （光碟 2）,SS#2002,
Tenchi o Kurau II - Sekiheki no Tatakai (Japan),吞食天地 II - 赤壁之战  （日版）,SS#2003,
Tenga Seiha (Japan),天下制霸  （日版）,SS#2004,
Tengai Makyou - Daiyon no Mokushiroku - The Apocalypse IV (Japan) (Demo),天外魔境 - 第四默示录 IV  （日版） （演示版）,SS#2005,
Tengai Makyou - Daiyon no Mokushiroku - The Apocalypse IV (Japan) (Disc 1),天外魔境 - 第四默示录 IV  （日版） （光碟 1）,SS#2006,
Tengai Makyou - Daiyon no Mokushiroku - The Apocalypse IV (Japan) (Disc 2),天外魔境 - 第四默示录 IV  （日版） （光碟 2）,SS#2007,
Tennis Arena (Japan),网球竞技场  （日版）,SS#2008,
Terra Cresta 3D (Japan) (2M),火凤凰3D  （日版） (2M),SS#2009,
Terra Phantastica (Japan),大地女神幻想曲  （日版）,SS#2010,
"Terry Pratchett's Discworld (Europe) (En,Fr,De,Es,It)","泰瑞普莱契的碟形世界  （欧版） (En,Fr,De,Es,It)",SS#2011,
Tetris Plus (Europe),俄罗斯方块  （欧版）,SS#2012,
Tetris Plus (Japan),俄罗斯方块  （日版）,SS#2013,
Tetris Plus (USA),俄罗斯方块  （美版）,SS#2014,
Tetris S (Japan),俄罗斯方块S  （日版）,SS#2015,
Tetris S (Japan) (Rev A),俄罗斯方块S  （日版） （修正版 A）,SS#2016,
Texthoth Ludo - Arcana Senki (Japan),テクストート・ルド ～アルカナ戦記～  （日版）,SS#2017,
"Theme Park (Europe) (En,Fr,De,Es,Sv)","主题乐园  （欧版） (En,Fr,De,Es,Sv)",SS#2018,
Theme Park (Japan),主题乐园  （日版）,SS#2019,
Theme Park (USA),主题乐园  （美版）,SS#2020,
Thor - Seireioukiden (Japan),光之继承者 雷神传说 精灵王纪传  （日版）,SS#2021,
Three Dirty Dwarves (Europe),爆笑三人组  （欧版）,SS#2022,
Three Dirty Dwarves (Japan) (2M),爆笑三人组  （日版） (2M),SS#2023,
Three Dirty Dwarves (USA) (RE),爆笑三人组  （美版） (RE),SS#2024,
Thunder Force Gold Pack 1 (Japan),雷鸟黄金包 1  （日版）,SS#2025,
Thunder Force Gold Pack 2 (Japan) (Rev A),雷鸟黄金包 2  （日版） （修正版 A）,SS#2026,
Thunder Force V (Japan),雷鸟5  （日版）,SS#2027,
Thunder Force V (Japan) (Demo),雷鸟5  （日版） （演示版）,SS#2028,
Thunder Storm & Road Blaster (Japan) (Disc 1) (Thunder Storm),雷电合集  （日版） （光碟 1） (Thunder Storm),SS#2029,
Thunder Storm & Road Blaster (Japan) (Disc 2) (Road Blaster),雷电合集  （日版） （光碟 2） (Road Blaster),SS#2030,
Thunderhawk II (Japan),雷霆飞鹰 II  （日版）,SS#2031,
Thunderstrike 2 (USA),雷霆一击2  （美版）,SS#2032,
Thunderstrike 2 (USA) (Rev A),雷霆一击2  （美版） （修正版 A）,SS#2033,
Tilk - Aoi Umi kara Kita Shoujo (Japan),蒂尔克～来自蓝色大海的少女～  （日版）,SS#2034,
"Tilt! (Europe) (En,Fr,De)","倾斜!  （欧版） (En,Fr,De)",SS#2035,
Time Bokan Series - Bokan to Ippatsu! Doronbow Kanpekiban (Japan),小双侠 时间飞船 （日版）,SS#2036,
Time Commando (Japan),时空游侠  （日版）,SS#2037,
"Time Gal & Ninja Hayate (Japan) (En,Ja) (Disc 1) (Time Gal)","时间少女和忍者哈亚特  （日版） (En,Ja) （光碟 1） (Time Gal)",SS#2038,
"Time Gal & Ninja Hayate (Japan) (En,Ja) (Disc 2) (Ninja Hayate) (3M)","时间少女和忍者哈亚特  （日版） (En,Ja) （光碟 2） (Ninja Hayate) (3M)",SS#2039,
Titan Wars (Europe),泰坦战争  （欧版）,SS#2040,
Titan Wars (Japan),泰坦战争  （日版）,SS#2041,
TNN Motor Sports HardCore 4X4 (USA),TNN汽车运动 铁杆 4X4  （美版）,SS#2042,
Tokimeki Mahjong Graffiti - Toshishita no Tenshi-tachi (Japan),心跳麻雀 年少的天使们 （日版）,SS#2043,
Tokimeki Mahjong Paradise - Koi no Tenpai Beat (Japan),心跳麻雀  （日版）,SS#2044,
Tokimeki Memorial - Forever with You (Japan) (1M),心跳回忆：永远属于你  （日版） (1M),SS#2045,
Tokimeki Memorial - Forever with You (Japan) (2M),心跳回忆：永远属于你  （日版） (2M),SS#2046,
Tokimeki Memorial - Forever with You (Japan) (Special-ban) (2M),心跳回忆：永远属于你  （日版） (Special-ban) (2M),SS#2047,
Tokimeki Memorial Drama Series Vol. 1 - Nijiiro no Seishun (Japan),心跳回忆话剧集 卷 1 - NIJIIRO NO SEISHUN  （日版）,SS#2048,
Tokimeki Memorial Drama Series Vol. 1 - Nijiiro no Seishun (Japan) (Demo),心跳回忆话剧集 卷 1 - NIJIIRO NO SEISHUN  （日版） （演示版）,SS#2049,
Tokimeki Memorial Drama Series Vol. 2 - Irodori no Love Song (Japan) (Disc 1) (2M),心跳回忆话剧集 卷 2 - IRODORI NO LOVE SONG  （日版） （光碟 1） (2M),SS#2050,
Tokimeki Memorial Drama Series Vol. 2 - Irodori no Love Song (Japan) (Disc 2) (2M),心跳回忆话剧集 卷 2 - IRODORI NO LOVE SONG  （日版） （光碟 2） (2M),SS#2051,
Tokimeki Memorial Drama Series Vol. 3 - Tabidachi no Uta (Japan) (Disc 1),心跳回忆话剧集 卷 3 - TABIDACHI NO UTA  （日版） （光碟 1）,SS#2052,
Tokimeki Memorial Drama Series Vol. 3 - Tabidachi no Uta (Japan) (Disc 2),心跳回忆话剧集 卷 3 - TABIDACHI NO UTA  （日版） （光碟 2）,SS#2053,
