english_name,chinese_name,source_id,extra_json
Cliff Diving,峭壁游泳 [英文版],PCSA00038,"{""date"":""2012-02-22"",""developer"":""Studio Liverpool"",""genre"":""运动|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00038.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Facebook,Facebook (应用软件) [英文版],PCSA00042,"{""date"":""2012-02-22"",""developer"":""Sony"",""genre"":""混合|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00042.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Skype,Skype (应用软件) [英文版],PCSA00044,"{""date"":""2012-04-24"",""developer"":""Sony"",""genre"":""混合|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00044.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
LiveTweet for PlayStation Vita,LiveTweet (应用软件) [英文版],PCSA00045,"{""date"":""2012-02-21"",""developer"":""Sony"",""genre"":""混合|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00045.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Flickr,Flickr (应用软件) [英文版],PCSA00046,"{""date"":""2012-02-21"",""developer"":""Sony"",""genre"":""混合|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00046.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
foursquare,foursquare [英文版],PCSA00047,"{""date"":""2012-02-27"",""developer"":""Sony"",""genre"":""混合|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00047.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Table Top Tanks,桌上坦克 [英文版],PCSA00048,"{""date"":""2012-05-22"",""developer"":""Studio Liverpool"",""genre"":""动作|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00048.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Frobisher Says!,佛罗比舍如是说 [英文版],PCSA00050,"{""date"":""2012-10-23"",""developer"":""Honeyslug Ltd"",""genre"":""混合|选辑"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00050.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Resistance: Burning Skies Augmented Reality Monument Viewer,抵抗：燃烧天空 增强现实纪念碑查看器 [英文版],PCSA00052,"{""date"":""2012-03-27"",""developer"":""Sony"",""genre"":""混合|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00052.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Paint Park,绘画公园 [英文版],PCSA00059,"{""date"":""2012-04-17"",""developer"":""Sony"",""genre"":""混合|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00059.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Treasure Park,财宝公园 [英文版],PCSA00060,"{""date"":""2012-09-04"",""developer"":""Sony"",""genre"":""混合|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00060.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
YouTube,YouTube (应用软件) [英文版],PCSA00062,"{""date"":""2012-06-26"",""developer"":""YouTube"",""genre"":""模拟|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00062.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
