english_name,chinese_name,source_id,extra_json
Sonic Adventure (USA),索尼克冒险  （美版）,DC#1009,
"Sonic Adventure (USA) (En,Ja,Fr,De,Es) (Rev A)","索尼克冒险  （美版） (En,Ja,Fr,De,Es) (Rev A)",DC#1010,
Sonic Adventure - Limited Edition (USA),索尼克冒险 限制版 （美版）,DC#1011,
"Sonic Adventure 2 (Europe) (En,Ja,Fr,De,Es)","索尼克冒险 2  （欧版） (En,Ja,Fr,De,Es)",DC#1012,
"Sonic Adventure 2 (Japan) (En,Ja,Fr,De,Es)","索尼克冒险 2  （日版） (En,Ja,Fr,De,Es)",DC#1013,
"Sonic Adventure 2 (USA) (En,Ja,Fr,De,Es)","索尼克冒险 2  （美版） (En,Ja,Fr,De,Es)",DC#1014,
"Sonic Adventure 2 - The Trial (Europe) (En,Ja)","索尼克冒险 2 试玩版 （欧版） (En,Ja)",DC#1015,
"Sonic Adventure 2 - The Trial (USA, Japan) (En,Ja)","索尼克冒险 2 试玩版 (USA, Japan) (En,Ja)",DC#1016,
"Sonic Adventure International (Japan) (En,Ja,Fr,De,Es)","索尼克冒险 国际版 （日版） (En,Ja,Fr,De,Es)",DC#1017,
"Sonic Shuffle (Europe) (En,Fr,De,Es)","索尼克 棋牌  （欧版） (En,Fr,De,Es)",DC#1018,
Sonic Shuffle (Japan),索尼克 棋牌  （日版）,DC#1019,
Sonic Shuffle (USA),索尼克 棋牌  （美版）,DC#1020,
Sorcerian - Shichisei Mahou no Shito (Japan),七星魔法使  （日版）,DC#1021,
Soukou no Kihei - Space Griffon (Japan),装甲骑兵 - 太空狮鹫  （日版）,DC#1022,
Soul Fighter (Europe),魂战士  （欧版）,DC#1023,
Soul Fighter (USA),魂战士  （美版）,DC#1024,
"Soulcalibur (Europe) (En,Fr,De,Es)","灵魂能力  （欧版） (En,Fr,De,Es)",DC#1025,
Soulcalibur (Japan),灵魂能力  （日版）,DC#1026,
Soulcalibur (USA),灵魂能力  （美版）,DC#1027,
South Park - Chef's Luv Shack (Europe),南方公园-厨师的爱心小屋  （欧版）,DC#1028,
South Park - Chef's Luv Shack (USA),南方公园-厨师的爱心小屋  （美版）,DC#1029,
"South Park Rally (Europe) (En,Fr,De,Es)","南方公园拉力赛  （欧版） (En,Fr,De,Es)",DC#1030,
South Park Rally (USA),南方公园拉力赛  （美版）,DC#1031,
"Space Channel 5 (Europe) (En,Fr,De,Es)","太空频道 5  （欧版） (En,Fr,De,Es)",DC#1032,
"Space Channel 5 (Europe) (En,Fr,De,Es) (Beta)","太空频道 5  （欧版） (En,Fr,De,Es) （测试版）",DC#1033,
Space Channel 5 (Japan),太空频道 5  （日版）,DC#1034,
Space Channel 5 (USA),太空频道 5  （美版）,DC#1035,
Space Channel 5 Part 2 (Japan),太空频道 5 Part 2  （日版）,DC#1036,
Spawn - In the Demon's Hand (Europe),再生侠 - 恶魔之手  （欧版）,DC#1037,
Spawn - In the Demon's Hand (Japan),再生侠 - 恶魔之手  （日版）,DC#1038,
Spawn - In the Demon's Hand (USA),再生侠 - 恶魔之手  （美版）,DC#1039,
"Spec Ops II - Omega Squad (Europe) (En,Fr,De,Es,It)","特种部队 II - 欧米枷小队  （欧版） (En,Fr,De,Es,It)",DC#1040,
Spec Ops II - Omega Squad (USA),特种部队 II - 欧米枷小队  （美版）,DC#1041,
"Speed Devils (Europe) (En,Fr,De,Es,It)","狂飙魔鬼  （欧版） (En,Fr,De,Es,It)",DC#1042,
Speed Devils (Japan),狂飙魔鬼  （日版）,DC#1043,
Speed Devils (USA),狂飙魔鬼  （美版）,DC#1044,
Speed Devils - Online Racing (Europe),狂飙魔鬼 - 在线 赛车  （欧版）,DC#1045,
Speed Devils - Online Racing (USA),狂飙魔鬼 - 在线 赛车  （美版）,DC#1046,
Spider-Man (Europe),蜘蛛侠  （欧版）,DC#1047,
Spider-Man (USA),蜘蛛侠  （美版）,DC#1048,
"Spirit of Speed 1937 (Europe) (En,Fr,De,Es)","竞速之魂 1937  （欧版） (En,Fr,De,Es)",DC#1049,
