english_name,chinese_name,source_id,extra_json
Ape Escape - On the Loose,捉猴啦P!,24,"{""UMD_ID"":""UCUS-98609"",""date"":""2005-06-09"",""genre"":""Platformer"",""img"":""https://data.yang2000ling.com/img/psp_200/0024.jpg"",""language"":""英文"",""publisher"":""Sony"",""region"":""美版""}"
Soukyuu no Fafner,苍穹之法夫娜,25,"{""UMD_ID"":""ULJS-00006"",""date"":""2005-06-10"",""genre"":""Action"",""img"":""https://data.yang2000ling.com/img/psp_200/0025.jpg"",""language"":""日语"",""publisher"":""Bandai"",""region"":""日版""}"
MLB,美国职棒大联盟,26,"{""UMD_ID"":""UCUS-98605"",""date"":""2005-06-10"",""genre"":""Sport"",""img"":""https://data.yang2000ling.com/img/psp_200/0026.jpg"",""language"":""英文"",""publisher"":""Sony"",""region"":""美版""}"
Archer Maclean's Mercury,水银,27,"{""UMD_ID"":""ULUS-10017"",""date"":""2005-06-10"",""genre"":""Puzzle"",""img"":""https://data.yang2000ling.com/img/psp_200/0027.jpg"",""language"":""英文"",""publisher"":""Ignition"",""region"":""美版""}"
NFL Street 2 Unleashed,NFL街头橄榄球2 释放,28,"{""UMD_ID"":""ULUS-10008"",""date"":""2005-06-10"",""genre"":""Sport"",""img"":""https://data.yang2000ling.com/img/psp_200/0028.jpg"",""language"":""英文"",""publisher"":""Electronic Arts"",""region"":""美版""}"
Namco Museum,南梦宫博物馆,29,"{""UMD_ID"":""ULJS-00012"",""date"":""2005-06-10"",""genre"":""Classic"",""img"":""https://data.yang2000ling.com/img/psp_200/0029.jpg"",""language"":""日语"",""publisher"":""Namco"",""region"":""日版""}"
Kotoba no Puzzle - Mojipittan Daijiten,词汇益智游戏-文字大辞典,30,"{""UMD_ID"":""ULJS-00002"",""date"":""2005-06-10"",""genre"":""Puzzle"",""img"":""https://data.yang2000ling.com/img/psp_200/0030.jpg"",""language"":""日语"",""publisher"":""Namco"",""region"":""日版""}"
Spider-Man 2,蜘蛛侠2,31,"{""UMD_ID"":""ULUS-10015"",""date"":""2005-06-11"",""genre"":""Action Adventure"",""img"":""https://data.yang2000ling.com/img/psp_200/0031.jpg"",""language"":""英文"",""publisher"":""Activision"",""region"":""美版""}"
Minna no Golf Portable - Coca-Cola SE,大众高尔夫-可口可乐特别版 携带版,32,"{""UMD_ID"":""UCJM-95401"",""date"":""2005-06-12"",""genre"":""Sport"",""img"":""https://data.yang2000ling.com/img/psp_200/0032.jpg"",""language"":""日语"",""publisher"":""Sony"",""region"":""日版""}"
Tales of Eternia,永恒传说,33,"{""UMD_ID"":""ULJS-00015"",""date"":""2005-06-12"",""genre"":""RPG"",""img"":""https://data.yang2000ling.com/img/psp_200/0033.jpg"",""language"":""日语"",""publisher"":""Namco"",""region"":""日版""}"
