english_name,chinese_name,source_id,extra_json
D (Germany) (Disc 1),D之食卓（德国版） （光碟 1）,3DO#85,
D (Germany) (Disc 2),D之食卓（德国版） （光碟 2）,3DO#86,
"D (USA, Europe) (Disc 1)",D之食卓（美版 欧版） （光碟 1）,3DO#87,
"D (USA, Europe) (Disc 2)",D之食卓（美版 欧版） （光碟 2）,3DO#88,
D no Shokutaku (Japan) (Disc 1),D之食卓（日版） （光碟 1）,3DO#89,
D no Shokutaku (Japan) (Disc 2),D之食卓（日版） （光碟 2）,3DO#90,
D's Diner - The Director's Cut (Japan) (Disc A),D之食卓 导演剪辑版（日版） （光碟 A）,3DO#91,
D's Diner - The Director's Cut (Japan) (Disc B),D之食卓 导演剪辑版（日版） （光碟 B）,3DO#92,
D's Diner - The Director's Cut (Japan) (Disc C),D之食卓 导演剪辑版（日版） （光碟 C）,3DO#93,
"Daedalus Encounter, The (Japan) (Demo)",宇宙冒险家（日版） （演示版）,3DO#94,
"Daedalus Encounter, The (Korea) (Disc 1)",宇宙冒险家（韩国版） （光碟 1）,3DO#95,
"Daedalus Encounter, The (Korea) (Disc 2)",宇宙冒险家（韩国版） （光碟 2）,3DO#96,
"Daedalus Encounter, The (Korea) (Disc 3)",宇宙冒险家（韩国版） （光碟 3）,3DO#97,
"Daedalus Encounter, The (Korea) (Disc 4)",宇宙冒险家（韩国版） （光碟 4）,3DO#98,
"Daedalus Encounter, The (USA) (Disc 1)",宇宙冒险家（美版） （光碟 1）,3DO#99,
"Daedalus Encounter, The (USA) (Disc 2)",宇宙冒险家（美版） （光碟 2）,3DO#100,
"Daedalus Encounter, The (USA) (Disc 3)",宇宙冒险家（美版） （光碟 3）,3DO#101,
"Daedalus Encounter, The (USA) (Disc 4)",宇宙冒险家（美版） （光碟 4）,3DO#102,
"Daedalus Encounter, The - Episode 1 - Nanpasen no Alien (Japan) (Disc 1)",宇宙冒险家 第一章 遇难船的外星人（日版） （光碟 1）,3DO#103,
"Daedalus Encounter, The - Episode 1 - Nanpasen no Alien (Japan) (Disc 2)",宇宙冒险家 第一章 遇难船的外星人（日版） （光碟 2）,3DO#104,
"Daedalus Encounter, The - Episode 1 - Nanpasen no Alien (Japan) (Disc 3)",宇宙冒险家 第一章 遇难船的外星人（日版） （光碟 3）,3DO#105,
"Daedalus Encounter, The - Episode 1 - Nanpasen no Alien (Japan) (Disc 4)",宇宙冒险家 第一章 遇难船的外星人（日版） （光碟 4）,3DO#106,
DeathKeep (USA),死亡守护者（美版）,3DO#107,
Decathlon (USA) (Unl),十项全能（美版） （非官方版）,3DO#108,
Defcon 5 (Europe),5级戒备状态（欧版）,3DO#109,
Defcon 5 (Germany),5级戒备状态（德国版）,3DO#110,
Defcon 5 (Japan),5级戒备状态（日版）,3DO#111,
Defcon 5 (Korea),5级戒备状态（韩国版）,3DO#112,
Demolition Man (Japan),越空狂龙（日版）,3DO#113,
Demolition Man (USA),越空狂龙（美版）,3DO#114,
