english_name,chinese_name,source_id,extra_json
Mick & Mack as the Global Gladiators (USA) (Proto) (1993-06-16),米克与麦可 橡胶枪 （美版） （工程版） (1993-06-16),FC#1694,
Mick & Mack as the Global Gladiators (USA) (Proto) (1993-06-30),米克与麦可 橡胶枪 （美版） （工程版） (1993-06-30),FC#1695,
Mick & Mack as the Global Gladiators (USA) (Proto) (1993-07-09),米克与麦可 橡胶枪 （美版） （工程版） (1993-07-09),FC#1696,
Mickey Mouse - Dream Balloon (USA) (Beta),米老鼠 梦气球 （美版） （测试版）,FC#1697,
Mickey Mouse - Fushigi no Kuni no Daibouken (Japan),米老鼠 不可思议之国的大冒险 （日版）,FC#1698,
Mickey Mouse III - Yume Fuusen (Japan),米老鼠3 （日版）,FC#1699,
Mickey Mousecapade (USA),米老鼠 （美版）,FC#1700,
Mickey's Adventure in Numberland (USA),米老鼠之数字岛大冒险 （美版）,FC#1701,
Mickey's Safari in Letterland (USA),米老鼠之字母岛大冒险 （美版）,FC#1702,
Micro Machines (Europe) (Unl),微型机器 （欧版） （非官方版）,FC#1703,
Micro Machines (USA) (Aladdin Compact Cartridge) (Unl),微型机器 （美版） (Aladdin Compact Cartridge) （非官方版）,FC#1704,
Micro Machines (USA) (Unl),微型机器 （美版） （非官方版）,FC#1705,
MiG 29 - Soviet Fighter (USA) (Unl),米格 29 - 苏联战机 （美版） （非官方版）,FC#1706,
Might & Magic - Secret of the Inner Sanctum (USA),魔法门 心灵圣地之谜 （美版）,FC#1707,
Might and Magic - Book One - Secret of the Inner Sanctum (Japan),魔法门 心灵圣地之谜 （日版）,FC#1708,
Mighty Bomb Jack (Europe),爆裂杰克 （欧版）,FC#1709,
Mighty Bomb Jack (Japan),爆裂杰克 （日版）,FC#1710,
Mighty Bomb Jack (Japan) (Rev 1) (Virtual Console),爆裂杰克 （日版） （修正版 1） (Virtual Console),FC#1711,
Mighty Bomb Jack (Japan) (Rev A),爆裂杰克 （日版） (Rev A),FC#1712,
Mighty Bomb Jack (USA),爆裂杰克 （美版）,FC#1713,
Mighty Final Fight (Europe),SD 街头快打 （欧版）,FC#1714,
Mighty Final Fight (Japan),SD 街头快打 （日版）,FC#1715,
Mighty Final Fight (USA),SD 街头快打 （美版）,FC#1716,
Mike Tyson's Intergalactic Power Punch (USA) (Beta) [b],麦克泰森拳击 （美版） （测试版） [b],FC#1717,
Mike Tyson's Punch-Out!! (Europe),泰森拳击 （欧版）,FC#1718,
Mike Tyson's Punch-Out!! (Europe) (Rev 1),泰森拳击 （欧版） （修正版 1）,FC#1719,
"Mike Tyson's Punch-Out!! (Japan, USA)",泰森拳击 （日版，美版）,FC#1720,
