title_id,serial,name,region
000400000016B100,CTR-KMTP,Mercenaries Saga 2: Order Of The Silver Eagle,EUR
000400000016A500,CTR-JWXP,Samurai Defender,EUR
0004000000055100,CTR-SABP,3D Classics: Xevious,EUR
000400000015B800,CTR-KSRP,3D Streets of Rage II,EUR
00040000000BCC00,CTR-JUEP,Tokyo Crash Mobs,EUR
000400000015F400,CTR-KMZP,KAMI,EUR
000400000010DF00,CTR-JCJP,Squids Odyssey,EUR
000400000016EC00,CTR-JNNP,Ninja Battle Heroes,EUR
0004000000149D00,CTR-BKEP,Karous: The Beast of Re:Eden,EUR
0004000000161000,CTR-KNAE,Angry Video Game Nerd Adventures,USA
000400000015B900,CTR-KGHP,3D Gunstar Heroes,EUR
000400000007A400,CTR-JFQP,Flick Golf 3D,EUR
0004000000167400,CTR-KFPP,Fantasy Pirates,EUR
0004000000175900,CTR-KCCP,Cube Creator 3D,EUR
000400000011D600,CTR-BPSP,Pikmin Short Movies 3D,EUR
000400000014C600,CTR-KXCP,Smash Controller,EUR
0004000000147200,CTR-ADNP,LBX: Little Battlers eXperience,EUR
000400000012F300,CTR-JFKP,Photos with Animal Crossing,EUR
0004000000165800,CTR-BNUP,Senran Kagura 2: Deep Crimson,EUR
000400000013FF00,CTR-BSGJ,Asonde Shogi ga Kyoukunaru! Kane Hoshi Shogi DX,JPN
0004000000168700,CTR-BKQJ,Kobayashi ga Kawai Sugite Tsurai!! Game Demo Kyun Moe MAX ga Tomara Nai,JPN
0004000000176600,CTR-BTYJ,Tetsudou Nippon! Rosen Tabi: Yui Rail Hen,JPN
000400000016EA00,CTR-BFDP,Etrian Mystery Dungeon,EUR
0004000000148C00,CTR-BRXE,Hatsune Miku: Project Mirai DX,USA
0004000000165800,CTR-BNUP,Senran Kagura 2: Deep Crimson,EUR
0004000000124600,CTR-BLNX,LEGO Ninjago: Nindroids,SPA
0004000000148900,CTR-BRXP,Hatsune Miku: Project Mirai DX,EUR
