serial,name,region
T-45033-00,Alisia Dragoon (Japan) (Mega Drive Mini),Japan
T-45033-00,Alisia Dragoon (USA),USA
T-45033-00,Alisia Dragoon (USA) (Genesis Mini),USA
50936396-00,Alligator Game (World),World
00000000-00,AlterEgo - Dreamwalker (World) (Evercade),World
00054002-01,"Altered Beast (Japan, USA) (En) (Rev 1)",Japan
00054002-01,"Altered Beast (Japan, USA) (En) (Sega 3D Classics)",Japan
00054002-02,"Altered Beast (USA, Europe) (Rev 2)",USA
00054002-02,"Altered Beast (USA, Europe) (Sega 3D Classics)",USA
33262399-00,Altered Beast II - The Seven Depths of Hell (World) (Proto),World
T-83056-00,American Gladiators (USA),USA
00000000-00,Anaconda (Brazil) (Mega Drive 4),Brazil
T-101016-01,Andre Agassi Tennis (Europe),Europe
T-101016-00,Andre Agassi Tennis (USA),USA
00000000-00,Andre Agassi Tennis (USA) (Beta),USA
00000000-00,Angry Birds - Star Wars (Russia),Russia
00000000-00,Angry Birds in Russia (Russia),Russia
T-95176-00,"Animaniacs (Europe) (En,Fr,De)",Europe
T-95176-00,Animaniacs (USA),USA
00000000-00,Aniversario (Brazil) (Mega Drive 4),Brazil
00000000-00,Annexed Territory (World),World
T-70106-00,Another World (Europe),Europe
T-76103-00,Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan),Japan
TECTOY-2005-01,Aquaduto (Brazil) (Mega Drive 4),Brazil
T-50436-00,"Aquatic Games Starring James Pond and the Aquabats, The (USA, Europe)",USA
MK-1715-00,"Arcade Classics (USA, Europe)",USA
MK-1010-00,Arcade Legends Sega Mega Drive (World) (Radica),World
MK-1090-00,Arcade Legends Street Fighter II' - Special Champion Edition (World) (Radica),World
T-081056-00,"Arch Rivals - The Arcade Game (USA, Europe)",USA
T-32053-00,Arcus Odyssey (Japan),Japan
T-32053-00,Arcus Odyssey (USA),USA
T-32053-00,Arcus Odyssey (World) (Evercade),World
T-95196-50,Argentina Soccer 2006 (Argentina) (Pirate),
MK-1041-00,Ariel - The Little Mermaid (China) (En) (Pirate),China
MK-1041-00,Ariel - The Little Mermaid (USA) (Sega Channel),USA
MK-1041-00,"Ariel - The Little Mermaid (USA, Europe)",USA
SIK-ROTO-XZ,"Arkagis Revolution (World) (En,Es) (Beta 2)",World
SIK-ROTO-YX,"Arkagis Revolution (World) (En,Es) (Beta 3)",World
SIK-ROTO-YZ,"Arkagis Revolution (World) (En,Es) (Beta 4)",World
SIK-ROTO-WX,"Arkagis Revolution (World) (En,Fr,Es) (Beta 1)",World
SIK-ROTO-ZW,"Arkagis Revolution (World) (En,Fr,Es) (Beta 5)",World
SIK-ROTO-00,"Arkagis Revolution (World) (En,Fr,Es) (Beta 6)",World
SIK-ROTO-00,"Arkagis Revolution (World) (En,Fr,Es) (Digital)",World
SIK-ROTO-00,Arkagis Revolution - Input Diagnostics (World),World
