serial,name,region
00000000-00,Chase and the Gurgloos (World),World
T-137036-00,Chavez II (Mexico),Mexico
MK-1540-00,"Cheese Cat-Astrophe Starring Speedy Gonzales (Europe) (En,Fr,De,Es)",Europe
T-13073-00,Chelnov (Japan),Japan
T-76103-00,Chengjisihan II - Yuanchao Mishi Zhi Canglang Yu Bailu (China) (Pirate),China
00000000-00,Chess (Russia) (En),Russia
T-148156-00,"Chessmaster, The (USA) (Sega Channel)",USA
T-33056-00,Chester Cheetah - Too Cool to Fool (USA),USA
T-33066-00,Chester Cheetah - Wild Wild Quest (USA),USA
T-70186-00,Chi Chi's Pro Challenge Golf (USA),USA
T-14123-01,Chibi Maruko-chan - Wakuwaku Shopping (Japan),Japan
G-4083-00,"Chiki Chiki Boys (Japan, Korea) (Ja)",Japan
MK-1075-00,"Chiki Chiki Boys (USA, Europe)",USA
00000000-00,Chip 'n Dale - Rescue Rangers (Russia),Russia
00000000-00,Chip 'n Dale - Rescue Rangers 2 (Russia),Russia
G-5546-00,Chou Kyuukai Miracle Nine (Japan),Japan
T-32043-00,Chou Touryuu Retsuden - Dino Land (Japan) (En),Japan
T-70036-00,Chuck Rock (Europe),Europe
T-70036-00,Chuck Rock (USA),USA
T-70063-00,Chuck Rock II (Japan) (En),Japan
T-115016-50,Chuck Rock II - Son of Chuck (Europe),Europe
T-115016-00,Chuck Rock II - Son of Chuck (USA),USA
T-115016-00,Chuck Rock II - Son of Chuck (USA) (Beta),USA
MK-0000-00,"Citadel of Chaos, The (World) (En,Fr) (v2.0)",World
MK-0000-00,"Citadel of Chaos, The (World) (En,Fr) (v2.1)",World
MK-0000-00,"Citadel of Chaos, The (World) (En,Fr) (v2.23)",World
MK-0000-00,"Citadel of Chaos, The (World) (En,Fr) (v3.0)",World
MK-1199-00,Classic Collection (Europe),Europe
T-125036-00,ClayFighter (Europe),Europe
T-125036-00,ClayFighter (USA),USA
T-93036-00,Cliffhanger (Europe),Europe
T-93036-00,Cliffhanger (USA),USA
T-89016-00,Clue (USA),USA
T-172016-00,Coach K College Basketball (USA),USA
T-172046-00,College Football USA 96 (USA),USA
T-172046-00,College Football USA 96 (USA) (Beta),USA
T-172126-01,College Football USA 97 (USA),USA
MK-1227-00,College Football's National Championship (USA),USA
MK-1225-00,College Football's National Championship (USA) (Beta 1),USA
MK-1227-00,College Football's National Championship (USA) (Beta 10),USA
MK-1227-00,College Football's National Championship (USA) (Beta 11),USA
MK-1227-00,College Football's National Championship (USA) (Beta 12),USA
MK-1227-00,College Football's National Championship (USA) (Beta 13),USA
MK-1227-00,College Football's National Championship (USA) (Beta 14),USA
MK-1227-00,College Football's National Championship (USA) (Beta 15),USA
MK-1227-00,College Football's National Championship (USA) (Beta 16),USA
MK-1227-00,College Football's National Championship (USA) (Beta 17),USA
MK-1227-00,College Football's National Championship (USA) (Beta 18),USA
MK-1227-00,College Football's National Championship (USA) (Beta 19),USA
MK-1225-00,College Football's National Championship (USA) (Beta 2),USA
MK-1225-00,College Football's National Championship (USA) (Beta 3),USA
MK-1227-00,College Football's National Championship (USA) (Beta 4),USA
MK-1227-00,College Football's National Championship (USA) (Beta 5),USA
MK-1227-00,College Football's National Championship (USA) (Beta 6),USA
MK-1227-00,College Football's National Championship (USA) (Beta 7),USA
MK-1227-00,College Football's National Championship (USA) (Beta 8),USA
MK-1227-00,College Football's National Championship (USA) (Beta 9),USA
MK-1241-00,College Football's National Championship II (USA),USA
T-81576-00,College Slam (USA),USA
00000000-00,Color Jumper (World) (v1.1),World
00054035-00,Columns (Japan) (En),Japan
00054035-01,"Columns (USA, Europe)",USA
00054035-01,"Columns (USA, Europe) (Sega Channel)",USA
00054035-01,Columns (World) (Sega Ages),World
T-23056-00,Columns III (USA),USA
00004801-00,"Columns III - Taiketsu! Columns World (Japan, Korea) (Ja)",Japan
T-119106-00,"Combat Cars (USA, Europe)",USA
MK-1569-50,Comix Zone (Europe) (Beta 1),Europe
MK-1569-50,Comix Zone (Europe) (Beta 2),Europe
MK-1569-50,"Comix Zone (Europe) (En,Fr,De,Es)",Europe
G-4132-00,"Comix Zone (Japan) (En,Ja)",Japan
MK-1569-00,Comix Zone (USA),USA
XXX-XXXX-XX,Comix Zone (USA) (Beta 1),USA
MK-1569-00,Comix Zone (USA) (Beta 10),USA
MK-10044-00,Comix Zone (USA) (Beta 2),USA
MK-10044-00,Comix Zone (USA) (Beta 3),USA
MK-1569-00,Comix Zone (USA) (Beta 4),USA
MK-1569-00,Comix Zone (USA) (Beta 5),USA
MK-1569-00,Comix Zone (USA) (Beta 6),USA
MK-1569-00,Comix Zone (USA) (Beta 7),USA
MK-1569-00,Comix Zone (USA) (Beta 8),USA
MK-1569-00,Comix Zone (USA) (Beta 9),USA
STI-0001-00,Comix Zone (USA) (Demo 1) (Sega Channel),USA
MK-10044-00,Comix Zone (USA) (Demo 2) (Sega Channel),USA
MK-1569-00,Comix Zone (USA) (Demo 3) (Sega Channel),USA
MK-1569-00,Comix Zone (USA) (Sega Smash Pack 2),USA
MK-1569-00,Comix Zone (USA) (Virtual Console),USA
00000001-00,Congo - The Game (USA) (Proto),USA
00000000-00,Connection Crafts Museum (World),World
T-95106-00,Contra - Hard Corps (USA) (Contra Anniversary Collection),USA
T-95106-00,Contra - Hard Corps (USA) (Genesis Mini),USA
T-95106-00,"Contra - Hard Corps (USA, Korea) (En)",USA
T-95093-00,Contra - The Hard Corps (Japan),Japan
T-95093-00,Contra - The Hard Corps (Japan) (Contra Anniversary Collection),Japan
T-95093-00,Contra - The Hard Corps (Japan) (Mega Drive Mini),Japan
T-70196-00,Cool Spot (Europe),Europe
T-70013-00,"Cool Spot (Japan, Korea) (En)",Japan
T-70196-00,Cool Spot (USA),USA
T-70196-00,Cool Spot (USA) (Beta),USA
T-70016-00,Corporation (Europe),Europe
00000000-00,"Cosmic Spacehead (Europe) (En,Fr,De,Es) (Rev 1)",Europe
00000000-00,"Cosmic Spacehead (USA, Europe) (En,Fr,De,Es)",USA
00000000-00,Cowboy Shooters (World) (Proto),World
G-4024-00,Crack Down (Europe),Europe
G-4024-00,Crack Down (Japan) (En),Japan
T-47046-00,Crack Down (USA),USA
T-16033-00,Crayon Shin-chan - Arashi o Yobu Enji (Japan),Japan
00000000-00,Crazy Driver (World),World
00000000-00,Crazy Driver (World) (v1.1),World
00000000-00,Criatura (World),World
T-29016-00,CrossFire (USA),USA
T-29023-00,CrossFire (USA) (Sample),USA
T-13063-00,Crude Buster (Japan) (En),Japan
T-XXXXX-XX,Crue Ball (Japan) (En),Japan
T-50386-XX,"Crue Ball - Heavy Metal Pinball (USA, Europe)",USA
T-144026-00,Crusader of Centy (USA),USA
G-4087-00,Crying - Aseimei Sensou (Japan) (En),Japan
MK-1544-00,Crystal's Pony Tale (USA),USA
00000000-00,Crystal's Pony Tale (USA) (Beta 1),USA
MK-1544-00,Crystal's Pony Tale (USA) (Beta 10),USA
MK-1544-00,Crystal's Pony Tale (USA) (Beta 11),USA
MK-1544-00,Crystal's Pony Tale (USA) (Beta 12),USA
MK-1544-00,Crystal's Pony Tale (USA) (Beta 13),USA
MK-1544-00,Crystal's Pony Tale (USA) (Beta 14),USA
MK-1544-00,Crystal's Pony Tale (USA) (Beta 15),USA
MK-1544-00,Crystal's Pony Tale (USA) (Beta 2),USA
MK-1544-00,Crystal's Pony Tale (USA) (Beta 3),USA
MK-1544-00,Crystal's Pony Tale (USA) (Beta 4),USA
MK-1544-00,Crystal's Pony Tale (USA) (Beta 5),USA
MK-1544-00,Crystal's Pony Tale (USA) (Beta 6),USA
MK-1544-00,Crystal's Pony Tale (USA) (Beta 7),USA
MK-1544-00,Crystal's Pony Tale (USA) (Beta 8),USA
MK-1544-00,Crystal's Pony Tale (USA) (Beta 9),USA
T-22013-00,Curse (Japan) (En),Japan
T-37016-00,Curse (USA) (Proto) (Sega Channel),USA
00000000-00,"Curse of Illmoore Bay, The (World) (Demo 1)",World
00000000-00,"Curse of Illmoore Bay, The (World) (Demo 2)",World
00000000-00,"Curse of Illmoore Bay, The (World) (Demo 3)",World
GM-00000000-00,"Cursed Knight, The (World) (Demo 1)",World
GM-00000000-00,"Cursed Knight, The (World) (Demo 2)",World
GM-00000000-00,"Cursed Knight, The (World) (Demo 3)",World
00000000-00,"Cursed Knight, The (World) (Demo 5)",World
GM-00000000-00,"Cursed Knight, The (World) (En,Fr) (Demo 4)",World
00000000-00,"Cursed Knight, The (World) (En,Fr) (Demo 6)",World
T-81516-00,"CutThroat Island (USA, Europe)",USA
T-81516-00,"CutThroat Island (USA, Europe) (Beta)",USA
T-20033-00,Cutie Suzuki no Ringside Angel (Japan),Japan
00000000-00,Cyber Mission (World) (Demo 1),World
00000000-00,Cyber Mission (World) (Demo 2),World
00004029-00,Cyber Police - ESWAT (Japan) (En),Japan
T-70016-00,Cyber-Cop (USA),USA
00004027-00,Cyberball (World),World
MK-1024-00,"Cyborg Justice (USA, Europe)",USA
MK-1024-00,"Cyborg Justice (USA, Europe) (Beta)",USA
MK-1027-00,"DEcapAttack (USA, Europe, Korea) (En)",USA
MK-1139-50,DJ Boy (Europe),Europe
G-4032-00,DJ Boy (Japan) (En),Japan
T-33016-00,DJ Boy (USA),USA
00000000-00,DOOM Sixternal (World),World
T-76053-10,Da Hanghai Shidai (Taiwan) (Pirate),Taiwan
T-76163-00,Da Hanghai Shidai II (Taiwan) (Simplified) (Pirate),Taiwan
T-76163-00,Da Hanghai Shidai II (Taiwan) (Traditional) (Pirate),Taiwan
00005505-01,Da Zhanlue - Shandian Qixi (China) (Pirate),China
64013-00,Daana (Korea),Korea
00000000-00,Daemon Claw - Origins of Nnar (World),World
XXXXXXXX-XX,Daffy Duck in Hollywood (Europe) (Beta),Europe
MK-1024-00,"Daffy Duck in Hollywood (Europe) (En,Fr,De,Es,It)",Europe
64013-00,Dahna - Megami Tanjou (Japan),Japan
T-76053-10,Daikoukai Jidai (Japan),Japan
T-76163-00,Daikoukai Jidai II (Japan),Japan
00004013-00,Daimakaimura (Japan),Japan
T-XXXXX-XX,Dan Marino's Power Play Football (USA) (Proto),USA
T-14033-00,Dangerous Seed (Japan) (En),Japan
****???-00,Danny Sullivan's Indy Heat (USA) (Proto),USA
00000000-00,"Darius (World) (Genesis Mini, Mega Drive Mini)",World
T-11193-00,Darius - Extra Version (Japan) (En) (Columbus Circle),Japan
HC-0005,"Darius - Extra Version (USA, Europe) (Strictly Limited Games)",USA
T-11083-00,Darius II (Japan),Japan
T-11083-00,Darius II (World) (Ja) (Darius Cozmic Collection),World
T-50096-00,"Dark Castle (USA, Europe)",USA
00001014-00,Dark Empires (USA) (Proto),USA
00000000-00,Darkwing Duck (Russia),Russia
G-4033-00,"Darwin 4081 (Japan, Korea) (En)",Japan
G-4033-00,"Darwin 4081 (Japan, Korea) (En) (Beta)",Japan
T-13093-00,Dashin' Desperadoes (Europe) (Proto),Europe
T-13066-00,Dashin' Desperadoes (USA),USA
30103030-01,Dashin' Desperadoes (USA) (Beta),USA
T-86036-00,David Crane's Amazing Tennis (USA),USA
MK-1214-00,David Robinson Basketball (Japan) (En),Japan
MK-1214-00,David Robinson Basketball (Japan) (En) (Beta),Japan
MK-1214-00,"David Robinson's Supreme Court (USA, Europe)",USA
T-49143-00,Davis Cup II (Europe) (Proto 1),Europe
T-11111-00,Davis Cup II (USA) (Proto 2),USA
T-48163-00,Davis Cup Tennis (Japan),Japan
T-48206-00,"Davis Cup World Tour (USA, Europe)",USA
T-48206-00,"Davis Cup World Tour (USA, Europe) (Beta)",USA
T-015156-50,Daze Before Christmas (Australia),Australia
T-000000-00,Daze Before Christmas (Australia) (Beta),Australia
T-33033-00,Deadly Moves (USA),USA
0200205-17,Death Caliber (Russia),Russia
T-56036-00,Death Duel (USA),USA
T-56036-00,Death Duel (USA) (Beta),USA
MK-0000-00,Death Sword (World) (Apple II),World
MK-0000-00,Death Sword (World) (PC),World
T-15186-00,"Death and Return of Superman, The (Europe)",Europe
T-15186-00,"Death and Return of Superman, The (USA)",USA
00000000-00,Debtor (World),World
00000000-00,Debtor (World) (v1.1) (itch.io),World
0200211-11,Deer Hunter (Russia),Russia
0200211-09,Deer Hunter (Russia) (Alt),Russia
00000000-00,Deflektor (World),World
00000000-00,Defrag Death Race (World) (v1.1.0),World
T-81486-00,"Demolition Man (USA, Europe)",USA
T-81486-00,"Demolition Man (USA, Europe) (Beta)",USA
00000000-00,Demons of Asteborg (World) (Demo 2),World
00000000-00,Demons of Asteborg (World) (En) (Demo 1),World
00000000-01,"Demons of Asteborg (World) (En,Fr,De,Es,It,Pt-BR) (v1.1) (Demo 1)",World
00000000-01,"Demons of Asteborg (World) (En,Fr,De,Es,It,Pt-BR) (v1.1) (Demo 2)",World
00000000-01,"Demons of Asteborg (World) (En,Fr,De,Es,It,Pt-BR) (v1.1) (Demo 3)",World
00000000-00,"Demons of Asteborg (World) (En,Fr,De,Es,It,Pt-BR) (v1.11) (Evercade)",World
00000000-00,Demons of Asteborg (World) (Fr) (Demo 1),World
xx-xxxx-xx,"Desert Demolition (USA, Europe) (Beta 1)",USA
mk-1062-00,"Desert Demolition (USA, Europe) (Beta 2)",USA
mk-1062-00,"Desert Demolition (USA, Europe) (Beta 3)",USA
mk-1062-00,"Desert Demolition (USA, Europe) (Beta 4)",USA
mk-1062-00,"Desert Demolition (USA, Europe) (Beta 5)",USA
mk-1062-00,"Desert Demolition (USA, Europe) (Beta 6)",USA
MK-1062-00,"Desert Demolition (USA, Europe) (Beta 7)",USA
MK-1062-00,"Desert Demolition (USA, Europe) (Beta 8)",USA
MK-1062-00,"Desert Demolition (USA, Europe) (Beta 9)",USA
MK-1062-00,"Desert Demolition Starring Road Runner and Wile E. Coyote (USA, Europe)",USA
T-50326-00,"Desert Strike - Return to the Gulf (USA, Europe)",USA
T-106093-00,"Desert Strike - Wangan Sakusen (Japan, Korea) (Ja)",Japan
00054503-00,Devi to Pii (Japan) (Mega Drive Mini 2),Japan
T-18053-00,Devil Crash MD (Japan) (En),Japan
T-47066-00,Devilish (USA) (Beta),USA
T-47066-00,Devilish - The Next Possession (USA),USA
00000000-00,Devwill Too MD (World) (Demo 1),World
00000000-00,Devwill Too MD (World) (Demo 2),World
00000000-00,Devwill Too MD (World) (Evercade),World
00000000-00,Devwill Too MD (World) (v1.1) (Evercade),World
MK-1555-00,"Dexstar (USA, Europe) (Beta 1)",USA
MK-1555-00,"Dexstar (USA, Europe) (Beta 2)",USA
00001014-00,Dick Tracy (World),World
T-048236-00,"Dick Vitale's 'Awesome, Baby!' College Hoops (USA)",USA
T-70276-00,"Dino Dini's Soccer (Europe) (En,Fr,De)",Europe
T-32043-00,Dino Land (USA),USA
T-32043-00,Dino Land (World) (Evercade),World
00000000-00,Dino Runner (World) (v1.2),World
00000000-00,"Dinosaur Game (World) (En,Es) (v3.52)",World
T-112036-00,"Dinosaur's Tale, A (USA)",USA
MK-1197-00,"Disney Collection, The - QuackShot Starring Donald Duck + Castle of Illusion Starring Mickey Mouse (Europe)",Europe
00000000-00,Dithered Nightmare Fuel (World) (Demo 2),World
00000000-00,Divine Sealing (Japan),Japan
TECTOY-2005-01,Domine o Territorio (Brazil) (Mega Drive 4),Brazil
00000000-00,Domino (Russia),Russia
00000000-01,Dominus (USA) (Proto),USA
00000000-01,Dominus (USA) (Proto) (Alt),USA
MK-1192-01,Donald in Maui Mallard (Europe) (Rev A),Europe
T-239016-00,"Donald in Maui Mallard (USA, Brazil) (En)",USA
00000000-00,Dongfang Sheng Zhong Yi - Trouble Lotus (World) (Proto),World
MK-1706-40,Dongguri Techi Jakjeon (Korea),Korea
T-132066-00,Doom Troopers (USA),USA
00004094-00,Doraemon - Yume Dorobou to 7 Nin no Gozans (Japan),Japan
MK-1063,Double Clutch (Europe),Europe
MK-1063-6BU,Double Clutch (Europe) (Beta),Europe
00000000-00,Double Cooked (World),World
00000000-00,Double Cooked (World) (v1.1),World
ACLD009-00,"Double Dragon (USA, Europe)",USA
T-081166-00,"Double Dragon 3 - The Arcade Game (USA, Europe)",USA
T-74023-00,Double Dragon II - The Revenge (Japan) (En),Japan
T-74023-00,Double Dragon II - The Revenge (Japan) (En) (Beta),Japan
T-97106-00,Double Dragon V - The Shadow Falls (USA),USA
T-95126-00,Double Dribble - The Playoff Edition (USA),USA
MK-0000-00,Double Symbol (World) (v1.34),World
MK-0000-00,Double Symbol (World) (v1.35),World
ANDYG002-B1,Doukutsu Monogatari (World) (Ja) (v0.8.8),World
MK-0000-00,Downforce - Red Hot Princess Carnage (World) (Proto) (bitbitJAM 2016),World
MK-1706-50,Dr. Robotnik's Mean Bean Machine (Europe),Europe
MK-1706-00,Dr. Robotnik's Mean Bean Machine (USA),USA
??-????-00,Dr. Robotnik's Mean Bean Machine (USA) (Beta 1),USA
MK-1706-00,Dr. Robotnik's Mean Bean Machine (USA) (Beta 2),USA
T-70286-00,Dragon - The Bruce Lee Story (Europe),Europe
T-81496-00,Dragon - The Bruce Lee Story (USA),USA
T-133013-00,Dragon Ball Z - Buyuu Retsuden (Japan),Japan
T-133016-00,Dragon Ball Z - L'Appel du Destin (France),France
G-5542-00,Dragon Slayer - Eiyuu Densetsu (Japan),Japan
G-5544-00,Dragon Slayer - Eiyuu Densetsu II (Japan),Japan
EXA-0001-00,Dragon's Castle (World) (Proto),World
T-67023-00,Dragon's Eye Plus - Shanghai III (Japan),Japan
T-48116-00,"Dragon's Fury (USA, Europe)",USA
T-11136-00,Dragon's Lair (USA) (Proto),USA
T-48143-00,Dragon's Revenge (Japan) (En),Japan
T-048266-00,"Dragon's Revenge (USA, Europe)",USA
T-50376-00,Dream Team USA (Japan),Japan
00000000-00,Driftin Rage (World) (Proto),World
00000000-00,Drunk as I Like (World) (Beta),World
00000000-00,Drunk as I Like (World) (GitHub),World
00000000-00,Drunk as I Like (World) (Itch.io),World
00000000-00,Drunk as I Like 2 - Drunk... Again (World),World
0000-0001,Du Shen Zhi - Menghuan Poker (Taiwan),Taiwan
T-274026-01,Duke Nukem 3D (Brazil) (En),Brazil
T-76106-00,Duli Zhanzheng (China) (Pirate),China
T-70246-00,Dune - The Battle for Arrakis (USA),USA
T-70246-00,Dune II - Kampf um den Wuestenplaneten (Germany),Germany
T-70246-00,Dune II - The Battle for Arrakis (Europe),Europe
T-70246-50,Dune II - The Battle for Arrakis (Europe) (Beta),Europe
MK-1304-00,"Dungeons & Dragons - Warriors of the Eternal Sun (USA, Europe)",USA
T-68033-01,Dyna Brothers (Japan),Japan
T-68063-00,Dyna Brothers 2 (Japan),Japan
T-68063-00,Dyna Brothers 2 Special (Japan) (Virtual Console),Japan
00004038-00,Dynamite Duke (World),World
00004038-00,Dynamite Duke (World) (Beta),World
00004038-00,Dynamite Duke (World) (Rev A),World
G-004117-00,Dynamite Headdy (Japan),Japan
T-471110-00,Dynamite Headdy (Japan) (En) (Beta 1),Japan
MK-1543-00,Dynamite Headdy (Japan) (En) (Beta 2),Japan
MK-1543-00,Dynamite Headdy (Japan) (En) (Beta 3),Japan
MK-1543-00,"Dynamite Headdy (USA, Europe)",USA
MK-1543-00,"Dynamite Headdy (USA, Europe) (Beta)",USA
T-860XX-00,DynoBlaze (USA) (Proto),USA
T-50236-50,EA Hockey (Europe),Europe
T-50236-00,EA Hockey (Japan) (En),Japan
T-50536-50,EA Sports Double Header (Europe),Europe
T-93056-00,ESPN Baseball Tonight (USA),USA
T-93176-00,ESPN National Hockey Night (USA),USA
T-93176-00,ESPN National Hockey Night (USA) (Beta),USA
T-93166-00,ESPN Speed World (USA),USA
T-93166-00,ESPN Speed World (USA) (Beta),USA
T-093046-00,ESPN Sunday Night NFL (USA),USA
T-093046-00,ESPN Sunday Night NFL (USA) (Beta),USA
00001110-01,"ESWAT - City under Siege (USA, Europe) (Rev A)",USA
T-49176-01,Earnest Evans (USA),USA
T-49176-01,Earnest Evans (USA) (Beta),USA
T-70386-00,Earthworm Jim (Europe),Europe
T-132036-00,Earthworm Jim (USA),USA
T-132036-00,Earthworm Jim (USA) (Beta),USA
T-132036-00,Earthworm Jim (World) (Evercade),World
T-70446-50,Earthworm Jim 2 (Europe),Europe
T-132056-50,Earthworm Jim 2 (Europe) (Beta),Europe
T-132056-00,Earthworm Jim 2 (USA),USA
T-132056-00,Earthworm Jim 2 (USA) (Beta),USA
T-132036-00,Earthworm Jim VideoHints 1 (USA) (Auto Demo) (Sega Channel),USA
T-132036-00,Earthworm Jim VideoHints 2 (USA) (Auto Demo) (Sega Channel),USA
MK-1553-00,"Ecco - The Tides of Time (Europe) (En,Fr,De,Es)",Europe
MK-1553-00,Ecco - The Tides of Time (USA),USA
MK-1042-01,Ecco - The Tides of Time (USA) (Beta 1),USA
MK-1042-01,Ecco - The Tides of Time (USA) (Beta 2),USA
MK-1042-01,Ecco - The Tides of Time (USA) (Beta 3),USA
MK-1553-00,Ecco - The Tides of Time (USA) (Sega Channel),USA
MK-1554-00,"Ecco Jr. (USA, Australia)",USA
MK-1554-00,"Ecco Jr. (USA, Australia) (Beta)",USA
G-4106-00,Ecco the Dolphin (Japan),Japan
MK-0000-00,Ecco the Dolphin (Japan) (Beta),Japan
MK-1042-00,"Ecco the Dolphin (USA, Europe, Korea) (En)",USA
MK-1042-01,"Ecco the Dolphin (USA, Europe, Korea) (En) (Rev A) (Beta)",USA
G-4123-00,Ecco the Dolphin II (Japan),Japan
T-32063-00,El.Viento (Japan),Japan
T-32063-00,El.Viento (USA),USA
T-32063-00,El.Viento (World) (Evercade),World
T-32063--00,El.Viento (World) (Retro-Bit),World
00000000-00,"Eldritch Monarch, The (World) (Proto)",World
T-18043-00,Elemental Master (Japan),Japan
T-49236-00,Elemental Master (USA),USA
00000000-00,Elf Run (World),World
T-73033-00,Eliminate Down (Japan) (En),Japan
T-73033,Eliminate Down (World) (Retro-Bit),World
T-50976-00,Elitserien 95 (Sweden),Sweden
T-172096-00,Elitserien 96 (Sweden),Sweden
T-081046-00,Empire of Steel (Europe),Europe
MK-1032-00,Escape from Mars Starring Taz (USA) (Beta 1),USA
MK-1546-00,Escape from Mars Starring Taz (USA) (Beta 10),USA
MK-1546-00,Escape from Mars Starring Taz (USA) (Beta 11),USA
MK-1032-00,Escape from Mars Starring Taz (USA) (Beta 2),USA
MK-1032-00,Escape from Mars Starring Taz (USA) (Beta 3),USA
MK-1032-00,Escape from Mars Starring Taz (USA) (Beta 4),USA
MK-1032-00,Escape from Mars Starring Taz (USA) (Beta 5),USA
MK-1546-00,Escape from Mars Starring Taz (USA) (Beta 6),USA
MK-1546-00,Escape from Mars Starring Taz (USA) (Beta 7),USA
MK-1546-00,Escape from Mars Starring Taz (USA) (Beta 8),USA
MK-1546-00,Escape from Mars Starring Taz (USA) (Beta 9),USA
MK-1145-00,Eternal Champions (Europe),Europe
MK-1145-00,Eternal Champions (Europe) (Beta),Europe
G-4114-00,"Eternal Champions (Japan, Korea) (En)",Japan
G-4114-00,"Eternal Champions (Japan, Korea) (En) (Beta)",Japan
MK-1145-00,Eternal Champions (USA),USA
T-76113-10,Europa Sensen (Japan),Japan
00000001-01,European Club Football (Europe) (Beta),Europe
T-70046-00,European Club Soccer (Europe),Europe
00000001-01,European Club Soccer (Europe) (Beta),Europe
MK-1215-00,Evander Holyfield's 'Real Deal' Boxing (World),World
MK-1074-00,"Ex-Mutants (USA, Europe)",USA
G-004097-00,Ex-Ranza (Japan) (En),Japan
T-00000-00,Ex-Ranza (Japan) (En) (Beta),Japan
T-49186-00,Exile (USA),USA
T-49186-00,Exile (USA) (Sega Channel),USA
T-49186-00,Exile (World) (Evercade),World
T-49093-00,Exile - Toki no Hazama he (Japan),Japan
T-132026-00,Exo Squad (Europe),Europe
T-132026-00,Exo Squad (USA),USA
T-132026-00,Exo Squad (USA) (Beta),USA
T-50716-00,"F-117 Night Storm (USA, Europe)",USA
T--------00,F-117 Stealth - Operation - Night Storm (Japan),Japan
T-104036-04,F-15 Strike Eagle II (Europe),Europe
T-104036-03,F-15 Strike Eagle II (USA),USA
00000001-00,F-15 Strike Eagle II (USA) (Beta),USA
T-104036-03,F-15 Strike Eagle II (USA) (Sample),USA
T-50276-00,F-22 Interceptor (USA) (Beta),USA
T-50276-00,F-22 Interceptor (USA) (Sega Channel),USA
T-50276-00,F-22 Interceptor - Advanced Tactical Fighter (Japan),Japan
T-50276-00,F-22 Interceptor - Advanced Tactical Fighter (USA) (Rev 1),USA
T-50276-00,"F-22 Interceptor - Advanced Tactical Fighter (USA, Europe) (F-202)",USA
T-880660-00,F1 (Europe),Europe
T-88146-50,F1 - World Championship Edition (Europe),Europe
T-50016-00,F1 - World Championship Edition (USA) (Proto 1),USA
T-71013-00,F1 Circus MD (Japan),Japan
T-71013-00,F1 Circus MD (USA) (Proto) (Sega Channel),USA
T-28216-00,FIFA 2003 (Argentina) (Pirate),
T-172206-00,"FIFA 98 - Road to World Cup (Europe) (En,Fr,Es,It,Sv)",Europe
T--------00,"FIFA International Soccer (Japan) (En,Ja)",Japan
T-50706-00,"FIFA International Soccer (USA, Europe) (En,Fr,De,Es)",USA
T-183457-01,"FIFA Soccer 2000 (China) (En,Fr,De,Es,It,Sv) (Pirate)",China
T-50916-01,"FIFA Soccer 95 (Korea) (En,Fr,De,Es)",Korea
T-50916-00,"FIFA Soccer 95 (USA, Europe) (En,Fr,De,Es)",USA
T-172086-00,"FIFA Soccer 96 (USA, Europe) (En,Fr,De,Es,It,Sv)",USA
T-172156-01,"FIFA Soccer 97 (USA, Europe) (En,Fr,De,Es,It,Sv)",USA
T-172086-00,"FIFA Soccer 99 (China) (En,Fr,De,Es,It,Sv) (Pirate)",China
T-50156-01,"Faery Tale Adventure, The (USA, Europe)",USA
T-83076-00,Family Feud (USA),USA
MK-1021-00,"Fantasia (USA, Europe)",USA
MK-1021-00,"Fantasia (USA, Europe) (Sega Channel)",USA
MK-1021-01,Fantasia (World) (Rev A),World
00000000-00,"Fantastic Dizzy (USA, Europe) (Beta)",USA
00000000-00,"Fantastic Dizzy (USA, Europe) (En,Fr,De,Es,It)",USA
T-274026-01,Fantasy Pinball (Brazil) (Mega Drive 4),Brazil
G-4120-00,"Fantasy Zone (World) (Mega Drive Mini 2, Genesis Mini 2)",World
T-43023-00,Fastest 1 (Japan) (En),Japan
MK-1083-00,"Fatal Fury (Europe, Korea) (En)",Europe
T-103016-00,Fatal Fury (USA),USA
T-103046-00,"Fatal Fury 2 (USA, Korea) (En)",USA
00000000-00,Fatal Fury One (World),World
00001309-00,"Fatal Labyrinth (USA, Europe) (En,Ja)",USA
T-50256-00,"Fatal Rewind (USA, Europe)",USA
T-50256-00,"Fatal Rewind (USA, Europe) (Rev 1)",USA
T-44013-00,Fatman (Japan) (En),Japan
00000000-00,Felix the Cat (Russia),Russia
00000000-00,Feliz 2025 (World) (Proto),World
0001-0001,Fengkuang Taohuayuan (Taiwan),Taiwan
T-81016-00,Ferrari Grand Prix Challenge (Europe),Europe
T-81016-00,Ferrari Grand Prix Challenge (USA),USA
T-79196-50,"Fever Pitch Soccer (Europe) (En,Fr,De,Es,It)",Europe
00000000-00,Fica 1 (Brazil) (Mega Drive 4),Brazil
T-33086-00,Fido Dido (USA) (Proto),USA
00000000-00,Fight Game 3 500 (World),World
00000000-00,Fight Game II 1000 (World),World
00000000-00,Fight Game II 3000 (World),World
T-24063-00,"Fighting Masters (Japan, Korea) (En)",Japan
T-24056-00,Fighting Masters (USA),USA
T-11033-00,Final Blow (Japan) (En),Japan
T-11033-00,Final Blow (Japan) (En) (Beta),Japan
00000000-00,Final Fight MD (World) (Demo 1),World
00000000-00,Final Fight MD (World) (Demo 2),World
00000000-00,Final Fight MD (World) (Demo 3),World
00000000-00,Final Fight MD (World) (Proto 1),World
00000000-00,Final Fight MD (World) (Proto 2),World
