serial,name,region
SHVC-7X,Appleseed - Prometheus no Shintaku (Japan),Japan
SHVC-AQ-JPN,Aqutallion (Japan),Japan
SHVC-AAJJ-JPN,Arabian Nights - Sabaku no Seirei Ou (Japan),Japan
SHVC-R9,Araiguma Rascal (Japan),Japan
SNSP-AW7P-EUR,Arcade's Greatest Hits - The Atari Collection 1 (Europe),Europe
SNS-AW7E-USA,Arcade's Greatest Hits - The Atari Collection 1 (USA),USA
SNS-RF-USA,Arcana (USA),USA
SNSP-ASDP-EUR,Archer Maclean's Super Dropzone (Europe),Europe
SHVC-A4,Arcus Spirits (Japan),Japan
SNSP-A9,Ardy Lightfoot (Europe),Europe
SHVC-A9,Ardy Lightfoot (Japan),Japan
SNS-A9,Ardy Lightfoot (USA),USA
SHVC-E8,Area 88 (Japan),Japan
SHVC-YJ,Aretha (Japan),Japan
SHVC-AREJ-JPN,Aretha II - Ariel no Fushigi na Tabi (Japan),Japan
SNSP-A6,Arkanoid - Doh It Again (Europe),Europe
SHVC-A6,Arkanoid - Doh It Again (Japan),Japan
SNS-A6-USA,Arkanoid - Doh It Again (USA),USA
SNSP-RW,Art of Fighting (Europe),Europe
SNS-RW,Art of Fighting (USA),USA
SHVC-X3,Aryol (Japan),Japan
SHVC-A23J-JPN,Asahi Shinbun Rensai - Katou Hifumi Kudan Shougi - Shingiryuu (Japan),Japan
SHVC-ZC,Asameshimae Nyanko (Japan),Japan
SHVC-AJ,Ashita no Joe (Japan),Japan
SNSP-AXOP-EUR,"Asterix & Obelix (Europe) (En,Fr,De,Es)",Europe
SNSP-XE,"Asterix (Europe) (En,Fr,De,Es)",Europe
SHVC-AATJ-JPN,"Atlas, The - Renaissance Voyager (Japan)",Japan
SNSP-AX,Axelay (Europe),Europe
SHVC-AX,Axelay (Japan),Japan
SNS-AX,Axelay (USA),USA
SNSP-B4,B.O.B. (Europe),Europe
SNS-B4,B.O.B. (USA),USA
SHVC-AXBJ-JPN,Bahamut Lagoon (Japan),Japan
SHVC-AAIJ-JPN,Bakukyuu Renpatsu!! Super B-Daman (Japan),Japan
SHVC-A2OJ-JPN,Bakumatsu Kourinden Oni (Japan),Japan
SHVC-ABDJ-JPN,Bakutou Dochers - Bumps-jima wa Oosawagi (Japan),Japan
SHVC-AAGJ-JPN,Ball Bullet Gun (Japan),Japan
SNS-ABZE-USA,Ballz 3D - Fighting at Its Ballziest (USA),USA
SHVC-BK,Barbarossa (Japan),Japan
SNS-8L-USA,Barbie Super Model (USA),USA
SNSP-U5,Barkley Shut Up and Jam! (Europe),Europe
SNS-U5,Barkley Shut Up and Jam! (USA),USA
SHVC-I7-JPN,Barkley no Power Dunk (Japan),Japan
SHVC-ABAJ-JPN,Bass Masters Classic (Japan),Japan
SNS-ABAE-USA,Bass Masters Classic (USA),USA
SNSP-A9BP-EUR,Bass Masters Classic - Pro Edition (Europe),Europe
SNS-A9BE-USA,Bass Masters Classic - Pro Edition (USA),USA
SNS-AB2E-USA,Bassin's Black Bass (USA),USA
SHVC-VC,Bastard!! - Ankoku no Hakaishin (Japan),Japan
SNSP-A3BP-EUR,Batman Forever (Europe),Europe
SHVC-A3BJ-JPN,Batman Forever (Japan),Japan
SNS-A3BE-USA,Batman Forever (USA),USA
SNSP-BJ,Batman Returns (Europe),Europe
SHVC-BJ,Batman Returns (Japan),Japan
SNS-BJ-USA,Batman Returns (USA),USA
SHVC-BZ,Battle Blaze (Japan),Japan
SNS-BZ-USA,Battle Blaze (USA),USA
SNS-4B,Battle Cars (USA),USA
SNSP-BT,Battle Clash (Europe),Europe
SNS-BT,Battle Clash (USA),USA
SHVC-BC,"Battle Commander - Hachibushuu, Shura no Heihou (Japan)",Japan
SHVC-ABCJ-JPN,Battle Cross (Japan),Japan
SHVC-BD,Battle Dodge Ball - Toukyuu Daigekitotsu! (Japan),Japan
SHVC-D2,Battle Dodge Ball II (Japan),Japan
SHVC-BG,Battle Grand Prix (Japan),Japan
SNS-BG,Battle Grand Prix (USA),USA
SHVC-AV2J-JPN,Battle Jockey (Japan),Japan
SHVC-5B,Battle Master - Kyuukyoku no Senshi-tachi (Japan),Japan
SHVC-ABPJ-JPN,Battle Pinball (Japan),Japan
SHVC-ACRJ-JPN,Battle Racers (Japan),Japan
SHVC-ABRJ-JPN,Battle Robot Retsuden (Japan),Japan
SHVC-B8-JPN,Battle Soccer - Field no Hasha (Japan),Japan
SHVC-ABSJ-JPN,Battle Soccer 2 (Japan),Japan
SHVC-A5LJ-JPN,Battle Submarine (Japan),Japan
SHVC-AFHJ,Battle Tycoon - Flash Hiders SFX (Japan),Japan
SHVC-AFHJ,Battle Tycoon - Flash Hiders SFX (Japan) (Rev 1),Japan
SHVC-ZQ,Battle Zeque Den (Japan),Japan
SHVC-V5,BattleTech (Japan),Japan
SHVC-A35J-JPN,BattleTech 3050 (Japan),Japan
SNSP-NX,Battletoads in Battlemaniacs (Europe),Europe
SHVC-8T-JPN,Battletoads in Battlemaniacs (Japan),Japan
SNS-NX-USA,Battletoads in Battlemaniacs (USA),USA
SNSP-UL,Battletoads-Double Dragon (Europe),Europe
SNS-UL,Battletoads-Double Dragon (USA),USA
SHVC-VM,Bazoe! Mahou Sekai (Japan),Japan
SNS-BY-USA,Bazooka Blitzkrieg (USA),USA
SNSP-EW,Beauty and the Beast (Europe),Europe
SNS-EW,Beauty and the Beast (USA),USA
SNSP-ABUP-EUR,Beavis and Butt-Head (Europe),Europe
SNS-ABUE-USA,Beavis and Butt-Head (USA),USA
SNS-6B,Bebe's Kids (USA),USA
SNSP-2V,Beethoven - The Ultimate Canine Caper! (Europe),Europe
SNS-2V,Beethoven - The Ultimate Canine Caper! (USA),USA
SHVC-BO,Benkei Gaiden - Suna no Shou (Japan),Japan
SHVC-AG6J-JPN,Best Shot Pro Golf (Japan),Japan
SNSP-BE,Best of the Best - Championship Karate (Europe),Europe
SNS-BE,Best of the Best - Championship Karate (USA),USA
SHVC-APDJ-JPN,Big Ichigeki! Pachi-Slot Daikouryaku (Japan),Japan
SHVC-AUVJ-JPN,Big Ichigeki! Pachi-Slot Daikouryaku 2 - Universal Collection (Japan),Japan
SNSP-AB9P,Big Sky Trooper (Europe),Europe
SNS-AB9E,Big Sky Trooper (USA),USA
SHVC-EW,Bijo to Yajuu (Japan),Japan
SNSP-ABMP-EUR,Biker Mice from Mars (Europe),Europe
SNS-ABME-USA,Biker Mice from Mars (USA),USA
SNS-CB-USA,Bill Laimbeer's Combat Basketball (USA),USA
SNS-7F,Bill Walsh College Football (USA),USA
SHVC-3K,Bing Bing! Bingo (Japan),Japan
SNSP-BV,BioMetal (Europe),Europe
SHVC-BV,BioMetal (Japan),Japan
SNS-BV-USA,BioMetal (USA),USA
SHVC-ZK,Bishin Densetsu Zoku (Japan),Japan
SHVC-JS,Bishoujo Janshi Suchie-Pai (Japan),Japan
SHVC-JS,Bishoujo Janshi Suchie-Pai (Japan) (Rev 1),Japan
SHVC-AE,Bishoujo Senshi Sailor Moon (Japan),Japan
SHVC-AASJ-JPN,Bishoujo Senshi Sailor Moon - Another Story (Japan),Japan
SHVC-2Q,Bishoujo Senshi Sailor Moon R (Japan),Japan
SHVC-AQSJ-JPN,Bishoujo Senshi Sailor Moon S - Jougai Rantou! Shuyaku Soudatsusen (Japan),Japan
SHVC-3Q,Bishoujo Senshi Sailor Moon S - Kondo wa Puzzle de Oshioki yo! (Japan),Japan
SHVC-AILJ-JPN,Bishoujo Senshi Sailor Moon S - Kurukkurin (Japan),Japan
SHVC-A9PJ-JPN,Bishoujo Senshi Sailor Moon SuperS - Fuwafuwa Panic (Japan),Japan
SHVC-AJQJ-JPN,Bishoujo Senshi Sailor Moon SuperS - Zenin Sanka!! Shuyaku Soudatsusen (Japan),Japan
SHVC-A3QJ-JPN,Bishoujo Wrestler Retsuden - Blizzard Yuki Rannyuu!! (Japan),Japan
SHVC-BL,BlaZeon (Japan),Japan
SNS-BL-USA,BlaZeon - The Bio-Cyborg Challenge (USA),USA
SNSP-6Z,"Blackhawk (Europe) (En,Fr,De)",Europe
SNS-6Z,Blackthorne (USA),USA
SHVC-6Z,Blackthorne - Fukushuu no Kuroki Toge (Japan),Japan
SNSP-WG,Blazing Skies (Europe),Europe
SHVC-AB8J-JPN,Block Kuzushi (Japan),Japan
SHVC-NU,"Blue Crystalrod, The (Japan)",Japan
SNSP-B6,"Blues Brothers, The (Europe)",Europe
SHVC-B6,"Blues Brothers, The (Japan)",Japan
SNS-B6,"Blues Brothers, The (USA)",USA
SHVC-AYWJ-JPN,Bokujou Monogatari (Japan),Japan
SHVC-AYWJ-JPN,Bokujou Monogatari (Japan) (Rev 1),Japan
SHVC-AH9J-JPN,Bomber Man B-Daman (Japan),Japan
SHVC-BB,Bombuzal (Japan),Japan
SNS-ABNE-USA,Bonkers (USA),USA
SHVC-ABNJ-JPN,Bonkers - Hollywood Daisakusen! (Japan),Japan
SNSP-AB4P-EUR,Boogerman - A Pick and Flick Adventure (Europe),Europe
SNS-AB4E-USA,Boogerman - A Pick and Flick Adventure (USA),USA
SHVC-A2LJ-JPN,Bounty Sword (Japan),Japan
SNSP-LL,Boxing Legends of the Ring (Europe),Europe
SNS-LL-USA,Boxing Legends of the Ring (USA),USA
SHVC-3B,Brain Lord (Japan),Japan
SNS-3B,Brain Lord (USA),USA
SNSP-B7,"Brainies, The (Europe)",Europe
SNS-B7,"Brainies, The (USA)",USA
SNSP-5D,Bram Stoker's Dracula (Europe),Europe
SNS-5D,Bram Stoker's Dracula (USA),USA
SHVC-QF,Brandish (Japan),Japan
SNS-QF,Brandish (USA),USA
SHVC-AQGJ-JPN,Brandish 2 - Expert (Japan),Japan
SHVC-AQGJ-JPN,Brandish 2 - The Planet Buster (Japan),Japan
SNS-RB,Brawl Brothers (USA),USA
SNSP-RB,Brawl Brothers - Rival Turf! 2 (Europe),Europe
SNS-ABXE-USA,BreakThru! (USA),USA
SNS-P-BF,Breath of Fire (USA),USA
SHVC-BF,Breath of Fire - Ryuu no Senshi (Japan),Japan
SHVC-BF,Breath of Fire - Ryuu no Senshi (Japan) (Rev 1),Japan
SNSP-AF2P-EUR,Breath of Fire II (Europe),Europe
SNS-AF2E-USA,Breath of Fire II (USA),USA
SHVC-AF2J-JPN,Breath of Fire II - Shimei no Ko (Japan),Japan
SHVC-AF2J-JPN,Breath of Fire II - Shimei no Ko (Japan) (Rev 1),Japan
SNSP-5Y,Brett Hull Hockey (Europe),Europe
SNS-5Y,Brett Hull Hockey (USA),USA
SNS-ABHE-USA,Brett Hull Hockey 95 (USA),USA
M/SNS-AB6E-USA,"Bronkie the Bronchiasaurus (USA) (En,Es)",USA
SNS-AWUE-USA,Brunswick World Tournament of Champions (USA),USA
SNSP-ABLP-EUR,"Brutal - Paws of Fury (Europe) (En,Fr,De)",Europe
SNS-ABLE-USA,Brutal - Paws of Fury (USA),USA
SNSP-ABBP-EUR,Bubsy II (Europe),Europe
SNS-ABBE-USA,Bubsy II (USA),USA
