system,game_name,ch_name,id
3do,"Daedalus Encounter, The - Episode 1 - Nanpasen no Alien (Japan) (Disc 2)",宇宙冒险家 第一章 遇难船的外星人（日版） （光碟 2）,3DO#104
3do,"Daedalus Encounter, The - Episode 1 - Nanpasen no Alien (Japan) (Disc 3)",宇宙冒险家 第一章 遇难船的外星人（日版） （光碟 3）,3DO#105
3do,"Daedalus Encounter, The - Episode 1 - Nanpasen no Alien (Japan) (Disc 4)",宇宙冒险家 第一章 遇难船的外星人（日版） （光碟 4）,3DO#106
3do,DeathKeep (USA),死亡守护者（美版）,3DO#107
3do,Decathlon (USA) (Unl),十项全能（美版） （非官方版）,3DO#108
3do,Defcon 5 (Europe),5级戒备状态（欧版）,3DO#109
3do,Defcon 5 (Germany),5级戒备状态（德国版）,3DO#110
3do,Defcon 5 (Japan),5级戒备状态（日版）,3DO#111
3do,Defcon 5 (Korea),5级戒备状态（韩国版）,3DO#112
3do,Demolition Man (Japan),越空狂龙（日版）,3DO#113
3do,Demolition Man (USA),越空狂龙（美版）,3DO#114
3do,Dennis Miller - That's News to Me (USA),,3DO#115
3do,Dennou Hyouryuu - Multimedia Cruising (Japan),電脳漂流（日版）,3DO#116
3do,Digital Dreamware (USA),数字织梦者（美版）,3DO#117
3do,DinoPark Tycoon (USA),迪诺公园大亨（美版）,3DO#118
3do,Diving Spot Guide - Marine Tour (Japan),潜水点导游-海上旅游（日版）,3DO#119
3do,Doctor Hauzer (Japan),浩泽博士（日版）,3DO#120
3do,Doom (USA),毁灭战士（美版）,3DO#121
3do,"Dragon Lore - The Legend Begins (USA, Europe) (Disc 1)",巨龙传说（美版 欧版） （光碟 1）,3DO#122
3do,"Dragon Lore - The Legend Begins (USA, Europe) (Disc 2)",巨龙传说（美版 欧版） （光碟 2）,3DO#123
3do,"Dragon Lore - The Legend Begins (USA, Europe) (Disc 3)",巨龙传说（美版 欧版） （光碟 3）,3DO#124
3do,Dragon Tycoon Edge (Japan),龙王边缘（日版）,3DO#125
3do,"Dragon's Lair (Europe) (En,Fr,De,It)","龙穴历险记（欧版） (En,Fr,De,It)",3DO#126
3do,Dragon's Lair (Japan),龙穴历险记（日版）,3DO#127
3do,Dragon's Lair (USA) (RE1),龙穴历险记（美版） (RE1),3DO#128
3do,"Dragon's Lair (USA, Korea)",龙穴历险记（美版，韩版）,3DO#129
3do,Drug Wars (USA),毒品战争（美版）,3DO#130
3do,Emit Vol. 1 - Toki no Maigo (Japan),Emit卷1 - 时の迷子（日版）,3DO#131
3do,Emit Vol. 2 - Inochigake no Tabi (Japan),Emit卷2 - 命がけの旅（日版）,3DO#132
3do,Emit Vol. 3 - Watashi ni Sayonara o (Japan),Emit卷3 - 对我说再见（日版）,3DO#133
3do,Endlessly (USA),无穷禁地（美版）,3DO#134
3do,Escape from Monster Manor (Europe),逃离怪兽领地（欧版）,3DO#135
3do,"Escape from Monster Manor (Korea) (En,Ko)","逃离怪兽领地（韩国版） (En,Ko)",3DO#136
3do,Escape from Monster Manor (USA),逃离怪兽领地（美版）,3DO#137
3do,ESPN Baseball - Hitting (USA),ESPN棒球（美版）,3DO#138
3do,ESPN Fitness Pros - Step Aerobics (USA),,3DO#139
3do,ESPN Golf - Lower Your Score with Tom Kite - Shot Making (USA) (Disc 1),ESPN 高尔夫（美版） （光碟 1）,3DO#140
3do,ESPN Golf - Lower Your Score with Tom Kite - Shot Making (USA) (Disc 2),ESPN 高尔夫（美版） （光碟 2）,3DO#141
3do,ESPN Golf - Lower Your Score with Tom Kite - Shot Making (USA) (Disc 3),ESPN 高尔夫（美版） （光碟 3）,3DO#142
3do,ESPN Golf - Lower Your Score with Tom Kite - Shot Making (USA) (Disc 4),ESPN 高尔夫（美版） （光碟 4）,3DO#143
3do,ESPN Golf - Tom Kite no Kore ga Golf da! (Japan) (Disc 1) (Shot Yousei Kouza Vol. 1),ESPN 高尔夫（日版） （光碟 1） (Shot Yousei Kouza Vol. 1),3DO#144
3do,ESPN Golf - Tom Kite no Kore ga Golf da! (Japan) (Disc 2) (Shot Yousei Kouza Vol. 2),ESPN 高尔夫（日版） （光碟 2） (Shot Yousei Kouza Vol. 2),3DO#145
3do,ESPN Golf - Tom Kite no Kore ga Golf da! (Japan) (Disc 3) (Pro ni Kike!),ESPN 高尔夫（日版） （光碟 3） (Pro ni Kike!),3DO#146
3do,"ESPN Let's Go Skiing with Picabo Street, A. J. Kitt & Holly Flanders (USA)",,3DO#147
3do,ESPN Let's Play Beach Volleyball with Karch Kiraly and Karolyn Kirby (USA),,3DO#148
3do,ESPN Let's Play Soccer with John Harkes and Mia Hamm (USA),,3DO#149
3do,ESPN Let's Play Tennis with Tracy Austin (USA),,3DO#150
3do,Eye of Typhoon (Korea),,3DO#151
3do,"Eye of Typhoon, The (Korea)",,3DO#152
3do,"Eye of Typhoon, The (Korea) (Disc 1)",,3DO#153
3do,F1GP (Japan),F1 GP赛车（日版）,3DO#154
3do,Family Feud (USA),家庭问答（美版）,3DO#155
3do,"Fatty Bear's Birthday Surprise (Japan) (En,Ja)","胖熊的生日惊喜（日版） (En,Ja)",3DO#156
3do,Fatty Bear's Birthday Surprise (USA),胖熊的生日惊喜（美版）,3DO#157
3do,Fatty Bear's Fun Pack (Korea),,3DO#158
3do,Fatty Bear's Funpack (Japan),胖熊的玩具（日版）,3DO#159
3do,Fatty Bear's Funpack (USA),胖熊的玩具（美版）,3DO#160
3do,FB Battery Navi Ver. II (Japan),,3DO#161
3do,FIFA International Soccer (Europe),FIFA世界杯（欧版）,3DO#162
3do,"FIFA International Soccer (USA, Korea)",FIFA世界杯（美版，韩版）,3DO#163
3do,Fire Ball!! (Japan),火球（日版）,3DO#164
3do,Fire Ball!! (Japan) (Rev 1),火球（日版） （修正版 1）,3DO#165
3do,Firewall (Korea),,3DO#166
3do,"Flashback (Europe) (En,Fr)","回到过去（欧版） (En,Fr)",3DO#167
3do,"Flashback (Japan) (En,Ja,Fr,De,It,Nl)","回到过去（日版） (En,Ja,Fr,De,It,Nl)",3DO#168
3do,"Flashback - The Quest for Identity (USA) (En,Fr)","回到过去:印地安之谜（美版） (En,Fr)",3DO#169
3do,Flopon World (Japan),怪物世界消方块（日版）,3DO#170
3do,Flopon World (Japan) (Demo),怪物世界消方块（日版） （演示版）,3DO#171
3do,Flying Nightmares (Europe),梦魇（欧版）,3DO#172
3do,Flying Nightmares (USA),梦魇（美版）,3DO#173
3do,Foes of Ali (Europe),阿里的敌人（欧版）,3DO#174
3do,Foes of Ali (USA),阿里的敌人（美版）,3DO#175
3do,Footie (USA) (Powerslide Bonus Disk) (Unl),足球运动（美版） (Powerslide Bonus Disk) （非官方版）,3DO#176
3do,Fun 'n Games (USA),,3DO#177
3do,"Fun 'n Games - Soft no Omochabako (Japan) (En,Ja)","趣味游戏 软玩具箱（日版） (En,Ja)",3DO#178
3do,Gakkou no Kowai Uwasa - Hanako-san ga Kita!! (Japan),学校里的恐怖传言 花子来了（日版）,3DO#179
3do,Game no Tatsujin (Japan),游戏达人（日版）,3DO#180
3do,Gateway to English - Eigo de Go! (Japan),,3DO#181
3do,"Gex (Japan, Korea)",蜥蜴（日版，韩版）,3DO#182
3do,"Gex (USA, Europe)",蜥蜴（美版 欧版）,3DO#183
3do,Ghost Hunter Series - Kuroki Shi no Kamen (Japan),幽灵猎人系列-黑死病面具（日版）,3DO#184
