system,game_name,ch_name,date,id,img
pcfx,Ginga Ojousama Densetsu Yuna FX - Kanashimi no Selene (Japan) (Sample),银河公主传说优奈FX-哀伤的海妖塞壬  （日版） （试玩版）,1996-03-08,PCFX#36,https://data.yang2000ling.com/img/pcfx_200/PCFX62.jpg
pcfx,Konpeki no Kantai (Japan),绀碧之舰队  （日版）,1995-03-31,PCFX#37,https://data.yang2000ling.com/img/pcfx_200/PCFX37.jpg
pcfx,Mahjong Gokuu Tenjiku (Japan) (SABS),麻将悟空-天竺  （日版） (SABS),1995-03-24,PCFX#38,https://data.yang2000ling.com/img/pcfx_200/PCFX38.jpg
pcfx,Aa! Megami-sama (Japan) (Disc 1),我的女神  （日版） (Disc 1),1997-12-12,PCFX#39,https://data.yang2000ling.com/img/pcfx_200/PCFX39.jpg
pcfx,Aa! Megami-sama (Japan) (Disc 2),我的女神  （日版） (Disc 2),1997-12-12,PCFX#40,https://data.yang2000ling.com/img/pcfx_200/PCFX39.jpg
pcfx,Angelique - Tenkuu no Requiem (Japan),安琪莉可-天空的镇魂歌  （日版）,1998-04-02,PCFX#41,https://data.yang2000ling.com/img/pcfx_200/PCFX41.jpg
pcfx,Last Imperial Prince (Japan) (Disc A),王子最终传承  （日版） (Disc A),1997-03-14,PCFX#42,https://data.yang2000ling.com/img/pcfx_200/PCFX42.jpg
pcfx,Last Imperial Prince (Japan) (Disc B),王子最终传承  （日版） (Disc B),1997-03-14,PCFX#43,https://data.yang2000ling.com/img/pcfx_200/PCFX42.jpg
pcfx,Power Dolls FX (Japan),特勤机甲队FX  （日版）,1996-02-23,PCFX#44,https://data.yang2000ling.com/img/pcfx_200/PCFX44.jpg
pcfx,Team Innocent - The Point of No Return - G.C.P.O.SS (Japan),无罪制裁  （日版）,1994-12-23,PCFX#45,https://data.yang2000ling.com/img/pcfx_200/PCFX45.jpg
pcfx,PC Engine Fan - Special CD-ROM Vol. 2 (Japan),PCE粉丝特别版CD卷2  （日版）,,PCFX#46,https://data.yang2000ling.com/img/pcfx_200/PCFX46.jpg
pcfx,PC Engine Fan - Special CD-ROM Vol. 3 (Japan),PCE粉丝特别版CD卷3  （日版）,,PCFX#47,https://data.yang2000ling.com/img/pcfx_200/PCFX47.jpg
pcfx,Super PC Engine Fan Deluxe - Special CD-ROM Vol. 1 (Japan),超级PCE粉丝豪华特别版CD卷1  （日版）,,PCFX#48,https://data.yang2000ling.com/img/pcfx_200/PCFX48.jpg
pcfx,Super PC Engine Fan Deluxe - Special CD-ROM Vol. 2 (Japan),超级PCE粉丝豪华特别版CD卷2  （日版）,,PCFX#49,https://data.yang2000ling.com/img/pcfx_200/PCFX48.jpg
pcfx,Angelique Special (Japan),安琪莉可特别版  （日版）,1995-12-22,PCFX#50,https://data.yang2000ling.com/img/pcfx_200/PCFX50.jpg
pcfx,Akazukin ChaCha - Osawagase! Panic Race! (Japan),小红帽恰恰  （日版）,1996-10-25,PCFX#51,https://data.yang2000ling.com/img/pcfx_200/PCFX51.jpg
pcfx,Angelique Special 2 (Japan),安琪莉可特别版2  （日版）,1996-12-06,PCFX#52,https://data.yang2000ling.com/img/pcfx_200/PCFX52.jpg
pcfx,Comic Road (Japan),漫画家之路  （日版）,1997-09-26,PCFX#53,https://data.yang2000ling.com/img/pcfx_200/PCFX53.jpg
pcfx,Lunatic Dawn FX (Japan),侠客游FX  （日版）,1995-11-24,PCFX#54,https://data.yang2000ling.com/img/pcfx_200/PCFX54.jpg
pcfx,Ojousama Sousamou (Japan),大小姐搜查网  （日版）,1996-05-31,PCFX#55,https://data.yang2000ling.com/img/pcfx_200/PCFX55.jpg
pcfx,Tenchi Muyou! Ryououki FX (Japan) (Disc A) (Hakua Kaikou),天地无用！魉皇鬼FX  （日版） (Disc A) (Hakua Kaikou),1996-07-12,PCFX#56,https://data.yang2000ling.com/img/pcfx_200/PCFX56.jpg
pcfx,Tenchi Muyou! Ryououki FX (Japan) (Disc B) (Kiyone Houguu),天地无用！魉皇鬼FX  （日版） (Disc B) (Kiyone Houguu),1996-07-12,PCFX#57,https://data.yang2000ling.com/img/pcfx_200/PCFX56.jpg
pcfx,Tonari no Princess Rolfee! (Japan),邻居公主罗尔菲  （日版）,1997-07-25,PCFX#58,https://data.yang2000ling.com/img/pcfx_200/PCFX58.jpg
pcfx,Zen Nihon Joshi Pro Wres - Queen of Queens (Japan) (Disc A) (Zenjo vs Zenjo),全日本女子职业摔角  （日版） (Disc A) (Zenjo vs Zenjo),1995-3-24,PCFX#59,https://data.yang2000ling.com/img/pcfx_200/PCFX59.jpg
