system,game_name,ch_name,id
n64,Clay Fighter - Sculptor's Cut (USA),黏土战士-雕刻家之作 （美版）,N64#135
n64,Clay Fighter 63 1-3 (Europe),黏土战士63 1-3 （欧版）,N64#136
n64,Clay Fighter 63 1-3 (USA),黏土战士63 1-3 （美版）,N64#137
n64,Clay Fighter 63 1-3 (USA) (Beta) (1997-08-21),黏土战士63 1-3 （美版） （测试版） (1997-08-21),N64#138
n64,"Command & Conquer (Europe) (En,Fr)","命令与征服 （欧版） (En,Fr)",N64#139
n64,Command & Conquer (Germany),命令与征服 （德国版）,N64#140
n64,Command & Conquer (USA),命令与征服 （美版）,N64#141
n64,Conker's Bad Fur Day (Europe),松鼠大作战 （欧版）,N64#142
n64,Conker's Bad Fur Day (USA),松鼠大作战 （美版）,N64#143
n64,Conker's Bad Fur Day (USA) (Beta) (2000-10-25),松鼠大作战 （美版） （测试版） (2000-10-25),N64#144
n64,Conker's Bad Fur Day (USA) (Beta) (ECTS 2000) (2000-08-26),松鼠大作战 （美版） （测试版） (ECTS 2000) (2000-08-26),N64#145
n64,Cruis'n Exotica (USA),新奇赛车 （美版）,N64#146
n64,Cruis'n USA (Europe),美国赛车 （欧版）,N64#147
n64,Cruis'n USA (USA),美国赛车 （美版）,N64#148
n64,Cruis'n USA (USA) (Rev 1),美国赛车 （美版） (Rev 1),N64#149
n64,Cruis'n USA (USA) (Rev 2),美国赛车 （美版） (Rev 2),N64#150
n64,Cruis'n USA (USA) (Wii Virtual Console),美国赛车 （美版） (Wii Virtual Console),N64#151
n64,Cruis'n World (Europe),世界赛车 （欧版）,N64#152
n64,Cruis'n World (Europe) (Rev 1),世界赛车 （欧版） (Rev 1),N64#153
n64,Cruis'n World (USA),世界赛车 （美版）,N64#154
n64,Custom Robo (Japan),组合机器人 （日版）,N64#155
n64,Custom Robo V2 (Japan),组合机器人 V2 （日版）,N64#156
n64,CyberTiger (Europe),泰格伍兹高尔夫 （欧版）,N64#157
n64,CyberTiger (USA),泰格伍兹高尔夫 （美版）,N64#158
