system,game_name,ch_name,id
ss,2do Aru Koto wa Sando R (Japan),肥瘦大盗 2度归来  （日版）,SS#1
ss,2Tax Gold (Japan),两桶金  （日版）,SS#2
ss,3D Baseball (USA),3D棒球  （美版）,SS#3
ss,3D Baseball - The Majors (Japan),3D棒球 - THE MAJORS  （日版）,SS#4
ss,3D Lemmings (Europe),3D百战小旅鼠  （欧版）,SS#5
ss,3D Lemmings (Japan),3D百战小旅鼠  （日版）,SS#6
ss,3D Mission Shooting - Finalist (Japan),3D使命射击-入围  （日版）,SS#7
ss,3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 1),3X3只眼 - 吸精公主 S  （日版） （光碟 1）,SS#8
ss,3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 2),3X3只眼 - 吸精公主 S  （日版） （光碟 2）,SS#9
ss,3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 3) (Special CD-ROM),3X3只眼 - 吸精公主 S  （日版） （光碟 3） (Special CD-ROM),SS#10
ss,6 Inch My Darling (Japan),我亲爱的6英寸  （日版）,SS#11
ss,"Actua Golf (Europe) (En,Fr,De)","阿克托高尔夫  （欧版） (En,Fr,De)",SS#12
ss,Actua Golf (Japan),阿克托高尔夫  （日版）,SS#13
ss,Actua Soccer (Japan),真实足球  （日版）,SS#14
ss,Actua Soccer - Club Edition (Europe),真实足球 - 俱乐部版  （欧版）,SS#15
ss,Advanced V.G. (Japan),少女格斗战.  （日版）,SS#16
ss,Advanced World War - Sennen Teikoku no Koubou - Last of the Millennium (Japan) (2M),高级大战略 - 千年帝国的兴亡  （日版） (2M),SS#17
ss,Advanced World War - Sennen Teikoku no Koubou - Last of the Millennium (Japan) (Rev B) (22M),高级大战略 - 千年帝国的兴亡  （日版） （修正版 B） (22M),SS#18
ss,AI Igo (Japan),AI围棋  （日版）,SS#19
ss,Ai Iijima Interactive Video Clip - Good Island Cafe (Japan),饭岛爱 - GOOD ISLAND CAFE  （日版）,SS#20
ss,AI Shougi (Japan),AI将棋  （日版）,SS#21
ss,AI Shougi 2 (Japan),AI将棋 2  （日版）,SS#22
ss,Air Management '96 (Japan),航空大亨96  （日版）,SS#23
ss,Airs Adventure (Japan),空中冒险  （日版）,SS#24
ss,Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (2M),恶魔城X：月下之夜想曲  （日版） (2M),SS#25
ss,Albert Odyssey - Legend of Eldean (USA),亚鲁巴战记 - 艾尔丹传奇  （美版）,SS#26
ss,Albert Odyssey - Legend of Eldean (USA) (RE),亚鲁巴战记 - 艾尔丹传奇  （美版） (RE),SS#27
ss,Albert Odyssey Gaiden - Legend of Eldean (Japan) (1M),亚鲁巴战记 外传 - 艾尔丹传奇  （日版） (1M),SS#28
ss,Albert Odyssey Gaiden - Legend of Eldean (Japan) (2M),亚鲁巴战记 外传 - 艾尔丹传奇  （日版） (2M),SS#29
ss,Albert Odyssey Gaiden - Legend of Eldean (Japan) (3M),亚鲁巴战记 外传 - 艾尔丹传奇  （日版） (3M),SS#30
ss,Album Club (Mune Kyun) - St. Paulia Jogakuin (Japan),专辑俱乐部  (Mune Kyun) - St. Paulia Jogakuin （日版）,SS#31
ss,"Alien Trilogy (Europe) (En,Fr,Es,It) (4S)","异形  （欧版） (En,Fr,Es,It) (4S)",SS#32
ss,"Alien Trilogy (Europe) (En,Fr,Es,It) (7S)","异形  （欧版） (En,Fr,Es,It) (7S)",SS#33
ss,"Alien Trilogy (Europe) (En,Fr,Es,It) (Beta)","异形  （欧版） (En,Fr,Es,It) （测试版）",SS#34
ss,Alien Trilogy (Germany),异形  （德国版）,SS#35
ss,Alien Trilogy (Japan),异形  （日版）,SS#36
ss,Alien Trilogy (Japan) (Demo),异形  （日版） （演示版）,SS#37
ss,Alien Trilogy (USA),异形  （美版）,SS#38
ss,All-Star Baseball '97 Featuring Frank Thomas (USA),全明星棒球 '97 FEATURING FRANK THOMAS  （美版）,SS#39
