system,game_name,ch_name,id
fc,'89 Dennou Kyuusei Uranai (Japan),89电脑占星术 （日版）,FC#1
fc,10-Yard Fight (Japan),十码大战 （日版）,FC#2
fc,10-Yard Fight (Japan) (Rev 1),十码大战 （日版） （修正版 1）,FC#3
fc,"10-Yard Fight (USA, Europe)",十码大战 （美版 欧版）,FC#4
fc,100 Man Dollar Kid - Maboroshi no Teiou Hen (Japan),百万小子 - 幻之帝王篇 （日版）,FC#5
fc,110 in 1 (Asia) (En) (Unl) (Pirate),100合1 （亚洲版） (En) （非官方版） (Pirate),FC#6
fc,"1942 (Japan, USA)",1942 （日版，美版）,FC#7
fc,1943 - The Battle of Midway (Japan) (Beta),1943 - 中途岛战役 （日版） （测试版）,FC#8
fc,1943 - The Battle of Midway (USA),1943 - 中途岛战役 （美版）,FC#9
fc,1943 - The Battle of Valhalla (Japan),1943 - 中途岛战役 （日版）,FC#10
fc,1991 Du Ma Racing (Asia) (Ja) (Idea-Tek) (Unl),91赛马 （亚洲版） (Ja) (Idea-Tek) （非官方版）,FC#11
fc,1991 Du Ma Racing (Asia) (Ja) (Micro Genius) (Unl),91赛马 （亚洲版） (Ja) (Micro Genius) （非官方版）,FC#12
fc,"1999 - Hore, Mitakotoka! Seikimatsu (Japan)",99 强手棋 （日版）,FC#13
fc,2010 Street Fighter (Japan),2010街头斗士 （日版）,FC#14
fc,3 in 1 Supergun (Asia) (Ja) (Unl),枪卡游戏 - 3 合 1 （亚洲版） (Ja) （非官方版）,FC#15
fc,3-D WorldRunner (USA),3D世界赛跑者 （美版）,FC#16
fc,3D Block (Asia) (Ja) (Hwang Shinwei) (Unl),3D方块 （亚洲版） (Ja) (Hwang Shinwei) （非官方版）,FC#17
fc,3D Block (Asia) (Ja) (RCM Group) (Unl),3D方块 （亚洲版） (Ja) (RCM Group) （非官方版）,FC#18
fc,4 Nin Uchi Mahjong (Japan),四人麻雀 （日版）,FC#19
fc,4 Nin Uchi Mahjong (Japan) (Rev 1),四人麻雀 （日版） （修正版 1）,FC#20
fc,720 Degrees (USA),720度转角 （美版）,FC#21
fc,8 Eyes (Japan),八眼传说 （日版）,FC#22
fc,8 Eyes (USA),八眼传说 （美版）,FC#23
fc,A Ressha de Ikou (Japan),铁路Ａ计划 （日版）,FC#24
fc,Aa Yakyuu Jinsei Icchokusen (Japan),野球人生 （日版）,FC#25
fc,Abadox (Japan),阿贝道之战 （日版）,FC#26
fc,Abadox - The Deadly Inner War (USA),阿巴多克斯-致命的内部战争 （美版）,FC#27
fc,Abarenbou Tengu (Japan),暴坊天狗 （日版）,FC#28
fc,Aces - Iron Eagle III (Japan),铁鹰战士III （日版）,FC#29
fc,Action 52 (USA) (Rev A) (Unl),动作游戏 - 52 合 1 （美版） (Rev A) （非官方版）,FC#30
fc,Action 52 (USA) (Unl),动作游戏 - 52 合 1 （美版） （非官方版）,FC#31
fc,Action in New York (Europe),最终任务 （欧版）,FC#32
fc,Adam & Eve (Asia) (En) (Mega Soft) (Unl),亚当与夏娃 （亚洲版） (En) (Mega Soft) （非官方版）,FC#33
fc,Adan y Eva (Spain) (Gluk Video) (Unl),亚当与夏娃 （西班牙版） (Gluk Video) （非官方版）,FC#34
fc,"Addams Family, The (Europe) (En,Fr,De)","阿达一族 （欧版） (En,Fr,De)",FC#35
fc,"Addams Family, The (USA)",阿达一族 （美版）,FC#36
fc,"Addams Family, The - Pugsley's Scavenger Hunt (Europe)",阿达一族 II （欧版）,FC#37
fc,"Addams Family, The - Pugsley's Scavenger Hunt (Europe) (Beta)",阿达一族 II （欧版） （测试版）,FC#38
fc,"Addams Family, The - Pugsley's Scavenger Hunt (USA)",阿达一族 II （美版）,FC#39
fc,"Addams Family, The - Uncle Fester's Quest (USA) (Beta)",阿达一族 - 费斯特伯父的探险 （美版） （测试版）,FC#40
fc,Advanced Dungeons & Dragons - Dragons of Flame (Japan),高级地下城与龙-龙之火焰 （日版）,FC#41
fc,Advanced Dungeons & Dragons - DragonStrike (USA),高级地下城与龙-龙击 （美版）,FC#42
fc,Advanced Dungeons & Dragons - Heroes of the Lance (Japan),高级地下城与龙- 长枪英雄 （日版）,FC#43
fc,Advanced Dungeons & Dragons - Heroes of the Lance (USA),高级地下城与龙- 长枪英雄 （美版）,FC#44
fc,Advanced Dungeons & Dragons - Heroes of the Lance (USA) (Beta),高级地下城与龙- 长枪英雄 （美版） （测试版）,FC#45
fc,Advanced Dungeons & Dragons - Hillsfar (Japan),高级地下城与龙-远山 （日版）,FC#46
fc,Advanced Dungeons & Dragons - Hillsfar (USA),高级地下城与龙-远山 （美版）,FC#47
fc,Advanced Dungeons & Dragons - Pool of Radiance (Japan),高级地下城与龙-光芒之池 （日版）,FC#48
fc,Advanced Dungeons & Dragons - Pool of Radiance (USA),高级地下城与龙-光芒之池 （美版）,FC#49
fc,Adventure Island (USA),冒险岛 （美版）,FC#50
fc,Adventure Island 3 (USA),冒险岛3 （美版）,FC#51
fc,Adventure Island Classic (Europe),冒险岛经典 （欧版）,FC#52
fc,Adventure Island II (USA),冒险岛2 （美版）,FC#53
fc,Adventure Island II (USA) (Beta),冒险岛2 （美版） （测试版）,FC#54
fc,Adventure Island III (Europe) (Proto),冒险岛3 （欧版） （工程版）,FC#55
fc,"Adventure Island Part II, The (Europe)",冒险岛2 （欧版）,FC#56
fc,Adventures in the Magic Kingdom (Europe),魔法王国大冒险 （欧版）,FC#57
fc,Adventures in the Magic Kingdom (USA),魔法王国大冒险 （美版）,FC#58
fc,Adventures in the Magic Kingdom (USA) (Beta 1),魔法王国大冒险 （美版） （测试版 1）,FC#59
fc,Adventures in the Magic Kingdom (USA) (Beta 2),魔法王国大冒险 （美版） （测试版 2）,FC#60
fc,"Adventures of Bayou Billy, The (Europe)",鳄鱼先生 （欧版）,FC#61
fc,"Adventures of Bayou Billy, The (USA)",鳄鱼先生 （美版）,FC#62
fc,"Adventures of Bayou Billy, The (USA) (Virtual Console)",鳄鱼先生 （美版） (Virtual Console),FC#63
fc,Adventures of Dino Riki (USA),新人类 （美版）,FC#64
fc,"Adventures of Dr. Franken, The (USA) (Proto)",法兰克博士大冒险 （美版） （工程版）,FC#65
fc,"Adventures of Gilligan's Island, The (USA)",梦幻岛大冒险 （美版）,FC#66
fc,Adventures of Lolo (Europe),蛋王子大冒险 （欧版）,FC#67
fc,Adventures of Lolo (Europe) (Virtual Console),蛋王子大冒险 （欧版） (Virtual Console),FC#68
fc,Adventures of Lolo (Japan),蛋王子大冒险 （日版）,FC#69
fc,Adventures of Lolo (USA),蛋王子大冒险 （美版）,FC#70
fc,Adventures of Lolo (USA) (Virtual Console),蛋王子大冒险 （美版） (Virtual Console),FC#71
fc,Adventures of Lolo 2 (Europe),蛋王子大冒险 II （欧版）,FC#72
fc,Adventures of Lolo 2 (Europe) (Virtual Console),蛋王子大冒险 II （欧版） (Virtual Console),FC#73
fc,Adventures of Lolo 2 (USA),蛋王子大冒险 II （美版）,FC#74
fc,Adventures of Lolo 2 (USA) (Virtual Console),蛋王子大冒险 II （美版） (Virtual Console),FC#75
fc,Adventures of Lolo 3 (Europe),蛋王子大冒险 III （欧版）,FC#76
fc,Adventures of Lolo 3 (USA),蛋王子大冒险 III （美版）,FC#77
fc,Adventures of Lolo II (Japan),罗罗大冒险2 （日版）,FC#78
fc,"Adventures of Rad Gravity, The (Europe)",重力大冒险 （欧版）,FC#79
