system,english_name,chinese_name
md,Flashback - The Quest for Identity (U),闪电归来-永恒的追寻(美)
md,Flicky (JUE),小鸟崔弟(日美欧)
md,"Flintstones, The (E)",石头族乐园(欧)
md,"Flintstones, The (J) [x]",石头族乐园(日)
md,"Flintstones, The (U)",石头族乐园(美)
md,Foreman for Real (JUE),真实拳击(日美欧)
md,Forgotten Worlds (JUE) (r00),世界末日(r00)(日美欧)
md,Forgotten Worlds (JUE) (r01),世界末日(r01)(日美欧)
md,Frank Thomas Big Hurt Baseball (JUE),法兰克汤姆斯棒球(日美欧)
md,Frogger (JU),青蛙过街(日美)
md,From TV Animation Slam Dunk - Kyougou Makkou Taiketsu! (J),篮球飞人-高手 正面的对决(日)
md,Fun Car Rally (U) (Beta),玩具车拉力赛(美)
md,Fun-n-Games (E),玩具游戏(欧)
md,Fun-n-Games (U),玩具游戏(美)
md,Fushigi no Umi no Nadia (J),深海之迷(日)
md,Hard Drivin' (JUE),迅猛赛车(日美欧)
md,HardBall '94 (JUE),硬派棒球94(日美欧)
md,HardBall '95 (JUE),硬派棒球95(日美欧)
md,HardBall III (JUE),硬派棒球3(日美欧)
md,HardBall! (U),硬派棒球!(美)
md,"Haunting, The (JUE)",幽灵(日美欧)
md,Head-On Soccer (U) (M5),足球(美)
md,Heavy Nova (JUE),重装诺瓦(日美欧)
md,Heavy Unit (J),重兵压境(日)
md,Hellfire (E),地狱火(欧)
md,Hellfire (J),地狱火(日)
md,Hellfire (U),地狱火(美)
md,Herzog Zwei (J),离子战机(日)
md,Herzog Zwei (UE),离子战机(美欧)
md,High Seas Havoc (U),大海哮--火箭骑士(美)
md,Hit The Ice (U),暴力冰球(美)
md,Hokuto no Ken - Seikimatsu Kyuuseishu Densetsu (J),北斗神拳-世纪末救世主传说(日)
md,Home Alone (U) (Beta),小鬼当家(测试版)(美)
md,Home Alone (U),小鬼当家(美)
md,Home Alone 2 - Lost in New York (U),小鬼当家2(美)
md,Honoo no Toukyuuji Dodge Danpei (J),
md,Hook (U),小飞侠(美)
md,"Humans, The (U)",新人类(美)
md,Hurricanes (JUE),狂风(日美欧)
md,"Hybrid Front, The (J) [a1]",轨道战争(日)
md,Hyokkori Hyoutanjima - Daitouryou wo Mezase! (J) [x],大统领(日)
md,Hyper Dunk - The Playoff Edition (E),疯狂灌篮-季后赛(欧)
md,Hyper Dunk - The Playoff Edition (J),疯狂灌篮-季后赛(日)
md,Hyper Marbles (J) (Sega Channel),大碰撞(日)
md,IMG International Tour Tennis (JUE),网球巡回赛(日美欧)
md,"Immortal, The (J)",死神传说(日)
md,"Immortal, The (U)",死神传说(美)
md,"Incredible Crash Dummies, The (Beta)",铁人狂奔(测试版)
md,"Incredible Crash Dummies, The (JUE)",铁人狂奔(日美欧)
md,"Incredible Hulk, The (JUE)",绿巨人(日美欧)
md,Indiana Jones and the Last Crusade (JE),印第安那琼斯(日欧)
md,Indiana Jones and the Last Crusade (U),印第安那琼斯(美)
md,Insector X (JUE) (Jul 1990),兵蜂X(6月1990)(日美欧)
md,Insector X (JUE) (Jun 1990),兵蜂X(7月1990)(日美欧)
md,Instruments of Chaos Starring Young Indiana Jones (Beta),少年印第安那琼斯(测试版)
md,Instruments of Chaos Starring Young Indiana Jones (J),印第安那琼斯(日)
md,Instruments of Chaos Starring Young Indiana Jones (U),印第安那琼斯(美)
md,International Rugby (JUE),国际橄榄球(日美欧)
md,International Superstar Soccer Deluxe (Beta),国际全明星足球(测试版)
md,International Superstar Soccer Deluxe (JUE),国际全明星足球(日美欧)
md,Ishido - The Way of Stones (U),石头棋(美)
md,It Came From The Desert (U) [x],流沙斗士(美)
md,"Itchy and Scratchy Game, The (JUE)",
md,Izzy's Quest for the Olympic Rings (JUE),百年奥运会(日美欧)
md,Ka-Ge-Ki - Fists of Steel (J),火激(日)
md,Ka-Ge-Ki - Fists of Steel (U),火激(美)
md,Kawasaki Superbike Challenge (Beta),川崎机车赛(测试版)
md,Kawasaki Superbike Challenge (JUE),川崎机车赛(日美欧)
md,"Kick Boxing, The (J)",
md,Kick Off 3 - European Challenge (E),K.O足球-欧洲联赛(欧)
md,Kid Chameleon (UE),变色龙(美欧)
md,"Killing Game Show, The (J)",机械精灵(日)
md,King of the Monsters (E),万兽之王(欧)
md,King of the Monsters (U),万兽之王(美)
md,King of the Monsters 2 (U),万兽之王2(美)
md,King Salmon (J) [x],鲑鱼王(日)
md,King Salmon (U),鲑鱼王(美)
md,King's Bounty (U),国王之恩典(美)
md,Klax (J),立体方块(日)
md,Klax (U),立体方块(美)
md,Knuckles Chaotix (32X) (E),索尼克(32X)(欧)
md,Knuckles Chaotix (32X) (JU),索尼克(32X)(日美)
md,Kolibri (32X) (JUE),蜂鸟(32X)(日美欧)
md,Koutetsu Teikoku (J),钢铁帝国(日)
md,Krusty's Super Funhouse (JUE) (r00),
md,Krusty's Super Funhouse (JUE) (r01),
md,Kujaku Ou 2 - Geneijou (J),孔雀王2(日)
md,Kuuga - Operation Code 'Vapor Trail' (J),空牙(日)
md,Kyuukai Douchuuki Baseball (J),球界道中记(日)
md,Kyuukyoku Tiger (J),究级虎(日)
md,La Russa 95 (JUE),
md,Labyrinth of Death (J),
md,Lakers vs Celtics (U),NBA湖人Vs 凯尔特人(美)
md,Landstalker - Die Schatze von Konig Nolo (G),秘境魔宝(德)
md,Landstalker - Koutei no Zaihou (J),秘境魔宝(日)
md,Landstalker - Le Tresor du Roi Nole (F),秘境魔宝(法)
md,Landstalker - The Treasures of King Nole (Beta),秘境魔宝(测试版)
md,Landstalker - The Treasures of King Nole (E),秘境魔宝(欧)
md,Landstalker - The Treasures of King Nole (U),秘境魔宝(美)
md,Langrisser (J),梦幻模拟战(日)
md,Langrisser II (J) (r00),梦幻模拟战2(r00)(日)
md,Langrisser II (J) (r01),梦幻模拟战2(r01)(日)
md,Langrisser II (J) (r02),梦幻模拟战2(r02)(日)
md,Last Action Hero (JUE),最后魔鬼英雄(日美欧)
md,Last Battle - Legend of the Final Hero (U),北斗神拳(美)
md,"Lawnmower Man, The (JUE)",除魔战士(日美欧)
md,"Legend of Galahad, The (U)",亚瑟王(美)
md,Lemmings (E),旅鼠总动员(欧)
md,Lemmings (JU) (r00),旅鼠总动员(r00)(日美)
md,Lemmings (JU) (r01),旅鼠总动员(r01)(日美)
md,Lemmings 2 - The Tribes (E),旅鼠总动员2(欧)
md,Lemmings 2 - The Tribes (U),旅鼠总动员2(美)
md,Lethal Enforcers (E),致命杀手1(欧)
md,Lethal Enforcers (J),致命杀手1(日)
md,Lethal Enforcers (U),致命杀手1(美)
md,Lethal Enforcers II - Gun Fighters (E),致命杀手2(欧)
md,Lethal Enforcers II - Gun Fighters (JU),致命杀手2(日美)
md,LHX Attack Helicopter (J),武装直升机(日)
md,LHX Attack Helicopter (U),武装直升机(美)
md,Liberty or Death (U),独立战争(美)
md,Light Crusader (E) (M4),光之十字军战士(欧)
md,Light Crusader (JE),光之十字军战士(日欧)
md,Light Crusader (K),光之十字军战士(韩)
md,Light Crusader (U),光之十字军战士(美)
md,Lightening Force (U),闪电出击特别版(美)
md,Link Dragon (Unl),接龙(Unl)
md,"Lion King, The (JUE)",狮子王(日美欧)
md,Lord Monarch - Tokoton Sentou Densetsu (J),战斗传说(日)
md,"Lost Vikings, The (E) [a1]",失落的维京人[a1](欧)
md,"Lost Vikings, The (E)",失落的维京人(欧)
md,"Lost Vikings, The (U)",失落的维京人(美)
md,Lotus II RECS (Beta),莲花赛车2(测试版)
md,Lotus II RECS (JUE),莲花赛车2(日美欧)
md,Lotus Turbo Challenge (JUE),莲花赛车-超速挑战(日美欧)
md,Olympic Gold - Barcelona '92 (E) 92,巴塞罗那奥运会(欧)
md,Olympic Gold - Barcelona '92 (J) 92,巴塞罗那奥运会(日)
md,Olympic Gold - Barcelona '92 (U) [a1][c] 92,巴塞罗那奥运会[a1][c](美)
md,Olympic Gold - Barcelona '92 (U) 92,巴塞罗那奥运会(美)
md,Olympic Summer Games Atlanta 96 (JUE) 96,亚特兰大夏季奥运(日美欧)
md,Olympic Winter Games - Lillehammer 1994 (J) 94,冬季奥运(日)
md,Olympic Winter Games - Lillehammer 1994 (U) [x] 94,冬季奥运(美)
md,Omega Race (J) [x],旋转战机(日)
md,Onslaught (Unl),突击(Unl)
md,"Ooze, The (E)",毒液(欧)
md,"Ooze, The (JU)",毒液(日美)
md,Operation Europe - Path to Victory 1939-45 (U),第二次世界大战(美)
md,Osomatsu-kun - Hachamecha Gekijou (J) [x],
md,"Ottifants, The (E)",玩具(欧)
md,"Ottifants, The (G) (Beta)",玩具(测试版)(德)
md,Out of this World (U),另一个世界(美)
md,Outlander (E),主视点赛车(欧)
md,Outlander (U),主视点赛车(美)
md,OutRun (JUE) [a1],户外大飙车[a1](日美欧)
md,OutRun (JUE),户外大飙车(日美欧)
md,OutRun 2019 (E),户外大飙车-2019未来版(欧)
md,OutRun 2019 (J),户外大飙车-2019未来版(日)
md,OutRun 2019 (U) (Beta),户外大飙车-2019未来版(测试版)(美)
md,OutRun 2019 (U),户外大飙车-2019未来版(美)
md,OutRunners (J),户外大飙车-街机版(日)
md,OutRunners (U),户外大飙车-街机版(美)
md,Ozaki Naomichi's Super Masters (J),
md,Race Drivin' (JUE),3D赛车(日美欧)
md,Radical Rex (E),雷克斯龙(欧)
md,Radical Rex (U),雷克斯龙(美)
md,Raiden Trad (JUE),雷电(日美欧)
md,Rainbow Islands - The Story of Bubble Bobble 2 (JUE),彩虹岛(日美欧)
md,Rambo III (J) (r00),蓝博3(日)
md,Rambo III (UE) (r01),蓝博3(美欧)
md,Rampart (JUE),堡垒(日美欧)
md,Ranger-X (E),机器勇士(欧)
md,Ranger-X (U),机器勇士(美)
md,Ransei no Hasha (J),乱世的霸者(日)
md,Rastan Saga II (J),神剑传说2 (日)
md,Rastan Saga II (U),神剑传说2 (美)
md,RBI Baseball 3 (JUE),打点棒球3(日美欧)
md,RBI Baseball 4 (JUE) (Aug 1991) [x],打点棒球4(日美欧)[1991]
md,RBI Baseball 4 (JUE) (Jun 1992),打点棒球4(日美欧)[1992]
md,RBI Baseball 93 (JUE),打点棒球93 (日美欧)
md,RBI Baseball 94 (JUE),打点棒球94 (日美欧)
md,RBI Baseball '95 (32X) (U),打点棒球95(32X)(美)
md,Red Zone (JUE),红色地带 (日美欧)
md,Ren and Stimpy's Invention (E),兔兔历险记(欧)
md,Ren and Stimpy's Invention (U),兔兔历险记(美)
md,Rent a Hero (J),英雄(日)
md,Resq (E) [x],卡通飞行器(欧)
md,"Revenge of Fu Manchu, The (Beta)",僵尸复仇(测试版)
md,"Revenge of Shinobi, The (E) (r02)",超级忍(欧)(R02)
md,"Revenge of Shinobi, The (E) (r03)",超级忍(欧)(R03)
md,"Revenge of Shinobi, The (JU) (r00)",超级忍(日欧)
md,"Revenge of Shinobi, The (U) (r01)",超级忍(美)
md,Revolution X (JUE),X革命(日美欧)
md,Richard Scarry's BusyTown (U),理查德快乐城市(美)
md,Rings of Power (U),魔力指环(美)
md,Rise of the Robots (JUE),机器人格斗(日美欧)
md,Risk (U),十字军东征(美)
md,Risky Woods (UE),屠魔大法师(美欧)
md,Ristar - The Shooting Star (J),外星王子(日)
md,Ristar (UE),外星王子(美欧)
md,Road Blasters (JUE) (Jul 1991),疾风赛车 (7月1991)(日美欧)
md,Road Blasters (JUE) (Oct 1991),疾风赛车 (10月1991)(日美欧)
md,Road Rash (U),暴力摩托(美)
md,Road Rash 3 (JUE),暴力摩托3(日美欧)
md,Road Rash II (J) (r00),暴力摩托2(日)
md,Road Rash II (UE) (r02),暴力摩托2(美欧)
md,Road Rash II (UE) (rXX),暴力摩托2(美欧)
md,Robocop 3 (JUE),机器战警3(日美欧)
md,Robocop vs The Terminator (Beta 1),机器战警对终结者(测试版 1)
md,Robocop vs The Terminator (Beta 2),机器战警对终结者(测试版 2)
md,Robocop vs The Terminator (E),机器战警对终结者(欧)
md,Robocop vs The Terminator (U),机器战警对终结者(美)
md,Rock n' Roll Racing (E),滚轮比赛(欧)
md,Rock n' Roll Racing (U),滚轮比赛(美)
md,Rocket Knight Adventures (E),火箭骑士历险记(欧)
md,Rocket Knight Adventures (J),火箭骑士历险记(日)
md,Rocket Knight Adventures (U),火箭骑士历险记(美)
md,Rockman Megaworld (J) [a1],洛克人(日)
md,Rockman Megaworld (J),洛克人(日)
md,"Rocky and Bullwinkle and Friends, The Adventures of (U)",
md,Roger Clements MVP Baseball (U),罗杰克林明星棒球(美)
md,Rolling Thunder 2 (E),轰天雷2(欧)
md,Rolling Thunder 2 (J),轰天雷2(日)
md,Rolling Thunder 2 (U),轰天雷2(美)
md,Rolling Thunder 3 (U),轰天雷3(美)
md,Rolo to the Rescue (J),小象露露历险记(日)
md,Rolo to the Rescue (UE),小象露露历险记(欧美)
md,Romance of the Three Kingdoms II (U),三国志2(美)
md,Romance of the Three Kingdoms III (U),三国志3(美)
md,Ronaldinho 98 (JUE) 98,足球(日美欧)
md,Royal Blood (J),皇家血统(日)
md,Rugby World Cup 1995 (JUE) (M3),鲁格比世界足球95(日美欧)
md,Runark (J),鳄鱼先生(日)
md,Ryuuko no Ken (J),
md,"Story of Thor, The - A Successor of the Light (E)",光之继承者(欧)
md,"Story of Thor, The - A Successor of the Light (F)",光之继承者(法)
md,"Story of Thor, The - A Successor of the Light (G)",光之继承者(德)
md,"Story of Thor, The - A Successor of the Light (K)",光之继承者(韩)
md,"Story of Thor, The - A Successor of the Light (S)",光之继承者(西)
md,"Story of Thor, The - Hikari wo Tsugumono (J)",光之继承者(日)
md,Street Fighter II' - Special Champion Edition (E),街头霸王2-特别冠军版(欧)
md,Street Fighter II' - Special Champion Edition (U),街头霸王2-特别冠军版(美)
md,Street Fighter II' Plus - Champion Edition (J),街头霸王2-特别冠军加强版(日)
md,Street Racer (E),街头赛车[Q版](欧)
md,Street Smart (JUE),街头快打(日美欧)
md,Streets of Rage (JUE) (r00),怒之铁拳(r00)(日美欧)
md,Streets of Rage (JUE) (r01),怒之铁拳(r01)(日美欧)
